"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
885,288230376151728128,4.994345,3,2048,443,62562,6,443,18,13,17440,1750,0,1368,968.8889,502.4548,4.082739,0.2774636,0.9137877,3.604076,3491.949,0.1612903,0.8176134,531,19059,46462,56,56,0,0,68,4277860822,18,17440,0,18,1750,0,11518,65160,64519.4,64512,65160,2,0,0,795,0,18,56,286,1380,512,2376440688,1105361889,0.001,2376440.801,1687408719,0.000248,0.00012,0.8022119,0.06295831,0.2050467,0.3111198,0.92523,0,0,0,0,0,1,10,6,12,12,2,11533,11045119,"0"
592,288230376151728128,5.00841,3,2048,443,50620,6,443,19,15,17465,1748,0,1368,919.2105,529.5702,4.07024,0.2636005,0.8917724,3.793619,3487.135,0.1176471,0.8180399,531,56131,9389,56,56,0,2,68,3112953747,19,17465,0,19,1748,0,10944,65160,64514.65,64512,65160,2,0,0,859,0,19,59,286,1380,512,2462873935,2625750573,0.004,9851496.208,1679958250,0.000178944,6.7e-05,0.841451,0.05715314,0.2025167,0.2821416,0.9038035,0,0,0,0,0,1,8,7,15,15,2.142857,8498,8081729,"0"
99,288230376151728128,5.000175,3,2048,443,49358,6,443,28,21,29549,1750,0,1368,1055.321,486.2891,4.079723,0.1785777,0.7522641,5.599804,5909.593,0.1428571,0.8881754,531,12992,52519,56,56,0,2,68,2488863065,28,29549,0,28,1750,0,10944,65160,64512.11,64512,65160,2,0,0,859,0,28,86,286,1380,512,3763863207,2672986665,0.001,3763863.386,1686037159,0.000238976,3.71e-05,0.813907,0.03948577,0.1690029,0.1930962,0.7604976,0,0,0,0,0,1,11,6,20,20,3.333333,1058,1027073,"0"
776,288230376151728128,0,3,2048,53,60006,17,53,1,1,43,43,43,43,43,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.018008,0,0,0,0,0,0,1,9,11,11,11,1,69,6479,"0"
283,288230376151728128,0,3,2048,48591,21,6,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,2636473514,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000243008,0.000243008,0.000243008,0.000243008,0,0.000243008,0,3,0,0,0,0,1,1,2,2,2,1,3,0,"0"
872,288230376151728128,4.999247,3,2048,50849,443,6,443,23,42,1748,47503,0,1151,76,231.7877,4.04953,0.2173586,0.8151403,4.600693,349.6526,-0.2923077,-0.9290166,2611,0,0,64,64,0,2,64,1384183828,22,1748,0,22,47503,0,1231,65535,128348.1,65535,131328,8,9,9,475,0,23,73,286,1460,64,3118366374,1194345379,0.001,3118366.522,1686692425,0.02059398,0.00036,4.049312,0.1043788,0.6085631,0.02083098,0,0,0,0,0,0,8,1,8,18,2.25,2.25,72005,3205415,"0"
774,288230376151728128,0.202266,3,2048,57678,443,17,443,9,10,2164,2850,31,1250,240.4444,317.0127,0.062971,0.022474,0.02155186,44.49586,10698.78,-0.05263158,-0.1368169,1,0,0,64,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000728,0.06255501,0.03338611,0.01731371,0,0,0,0,0,0,0,10,1,2,20,2,10,60263,2845643,"0"
1012,288230376151728128,4.996348,3,2048,62665,443,6,443,15,19,1750,17437,0,1153,116.6667,279.5474,4.006725,0.3330899,0.9692962,3.002193,350.2558,-0.1176471,-0.8175848,2611,0,0,64,64,0,0,64,674764071,14,1750,0,14,17437,0,1233,65535,129371.3,65535,131328,6,4,7,283,0,15,49,286,1460,64,1117569625,3748498985,0.001,1117569.678,1688668090,0.02327699,4e-05,4.006511,0.2218188,0.8669891,0.02357901,0,0,0,0,0,0,9,1,8,18,2,2.25,74383,3512890,"0"
824,288230376151728128,0,3,2048,23,39178,6,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000375008,0,67,0,0,0,0,1,1,1,1,1,1,68075,2528117,"0"
857,288230376151728128,6.001077,3,2048,58268,443,6,443,17,20,1766,17919,0,1169,103.8824,268.3275,4.045695,0.3530045,0.9884697,2.832825,294.2805,-0.08108108,-0.820574,2611,0,0,64,64,0,0,64,1608560779,16,1766,0,16,17919,0,1249,65535,129950.9,65535,131328,4,6,5,283,0,17,55,286,1460,64,3198370408,2171178466,0.001,3198370.56,1686508347,0.02110605,0.00044096,4.045486,0.2120825,0.8560321,0.021368,0,0,0,0,0,0,10,1,6,14,1.4,2.333333,97059,3469707,"0"
197,288230376151728128,9.224111,3,2048,62039,443,6,443,127,262,966,345633,0,486,7.606299,45.26199,8.696907,0.07263079,0.7652528,13.76826,104.7255,-0.3470437,-0.9944258,1043,0,0,64,64,0,0,64,3333394578,126,966,0,126,345633,63,486,65535,65535,65535,65535,0,0,0,283,8,1,7,286,1460,64,1974632043,0,0.004,7898528.547,1681884397,0.005619968,3.5e-05,0.06085702,0.006426231,0.01134457,0.005989952,0,0,0,0,0,0,13,1,24,50,3.846154,2.083333,14611,635227,"0"
537,288230376151728128,4.98807,3,2048,61313,443,6,443,14,19,1750,17459,0,1153,125,287.6742,4.070036,0.3562907,1.009788,2.806697,350.8371,-0.1515152,-0.8177937,2611,0,0,64,64,0,0,64,2051668003,13,1750,0,13,17459,0,1233,65535,129276.7,65535,131328,5,5,6,283,0,14,46,286,1460,64,2065036145,3889486882,0.001,2065036.243,1687708257,0.020176,0.000633984,4.06973,0.2249811,0.8807294,0.02040602,0,0,0,0,0,0,8,1,7,11,1.375,1.571429,43249,1824628,"0"
509,288230376151728128,4.998487,3,2048,443,61289,6,443,19,16,17523,1750,0,1368,922.2632,517.06,4.059853,0.2630783,0.8893045,3.80115,3505.661,0.08571429,0.8183988,531,36356,29164,56,56,0,0,68,545179797,19,17523,0,19,1750,0,8392,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,3889367813,3869231243,0.001,3889367.998,1685883806,0.000126976,5.59e-05,0.835392,0.05314106,0.1955712,0.2784896,0.8998848,0,0,0,0,0,1,8,6,10,10,1.666667,6890,6713444,"0"
897,288230376151728128,0,3,2048,34021,25565,6,25565,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,240,240,0,8,0,1043841887,0,0,0,0,0,0,0,14600,14600,14600,14600,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.00022,0.00022,0.00022,0.00022,0,0.00022,0,3,0,0,0,0,1,1,2,2,2,1,46,0,"0"
1137,288230376151728128,30.587579,3,2048,443,50018,6,443,17,18,6723,1676,0,1368,395.4706,503.7651,30.2844,1.799269,6.862729,0.5557811,219.7951,-0.02857143,0.6009049,531,1,10562,51,51,0,2,64,2238170213,17,6723,0,17,1676,0,1368,65160,64161.77,64128,65160,3,0,0,859,0,17,53,286,1380,128,3270998026,3379041552,0.001,3270998.181,1686533148,0.00012,9.5e-05,30.25696,3.575168,9.418614,3.608705,9.418655,18,0,0,0,0,1,13,13,37,37,2.846154,105,48019,"0"
225,288230376151728128,5.009,3,2048,443,62061,6,443,19,19,17510,2903,0,1368,921.5789,517.5405,4.053146,0.2636316,0.8822471,3.793172,3495.708,0,0.7155734,531,35310,30210,56,56,0,0,68,843226030,13,28926,1,19,1750,0,9760,65160,64515.7,64512,65160,2,0,0,795,580,19,59,286,1380,512,3899178473,2483256926,0.004,15596714.63,1674186270,0.000167008,7.9e-05,0.702047,0.04446611,0.1531811,0.2779018,0.8882128,0,0,0,0,0,1,13,7,33,33,4.714286,2794,2729303,"0"
114,288230376151728128,0,3,2048,23,59880,6,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000206976,0,67,0,0,0,0,2,1,1,1,0.5,1,8018,332774,"0"
460,288230376151728128,4.999562,3,2048,61243,443,6,443,18,31,1750,35552,0,1153,97.22222,258.6518,4.069306,0.2777534,0.9104772,3.600316,350.0307,-0.2653061,-0.9061713,2611,0,0,64,64,0,0,64,1396616239,17,1750,0,17,35552,0,1233,65535,128171.3,65535,131328,7,6,8,283,0,18,58,286,1460,64,170151130,3735783331,0.001,170151.1381,1689602792,0.02342304,0.000630016,4.069091,0.1411164,0.705118,0.02355904,0,0,0,0,0,0,6,1,8,12,2,1.5,35626,1479635,"0"
359,288230376151728128,4.991464,3,2048,443,62163,6,443,18,13,17465,1750,0,1368,970.2778,502.4615,4.084649,0.2773036,0.9143454,3.606156,3498.973,0.1612903,0.8178506,531,3515,62006,56,56,0,0,68,650338392,18,17465,0,18,1750,0,10944,65160,64515.79,64512,65160,2,0,0,795,0,18,56,286,1380,512,3746259927,3227910322,0.001,3746260.105,1686037159,0.00014,9.8e-05,0.803414,0.06296162,0.2053765,0.3029209,0.9276428,0,0,0,0,0,1,10,6,12,12,2,4446,4249915,"0"
