"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
27,288230376151728128,6.003472,3,2048,443,53674,6,443,20,14,18659,1747,0,1440,932.95,587.8354,3.992267,0.3001736,0.9206461,3.331406,3108.035,0.1764706,0.8287758,531,15441,50078,57,57,0,0,16452,3112950680,20,18659,0,20,1747,0,10080,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,4232111564,3896008629,0.001,4232111.765,1685971881,0.000110016,4e-05,1.910949,0.1369954,0.4741101,0.3496881,0.9680293,0,0,0,0,0,1,9,5,15,15,3,114,109853,"0"
28,288230376151728128,5.999924,3,2048,53675,443,6,443,21,20,1747,18724,0,1150,83.19048,239.1792,4.027861,0.2857107,0.9028188,3.500044,291.1703,0.02439024,-0.8293195,2611,0,0,64,64,0,0,64,1901362584,20,1747,0,20,18724,0,1230,65535,130569.7,65535,132480,8,7,9,283,0,21,67,286,1460,64,2242945834,3175052525,0.001,2242945.941,1687961053,0.02431904,2.1e-05,4.027756,0.2119683,0.8521162,0.02443104,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,3010,48008,"0"
28,288230376151728128,6.001718,3,2048,443,53675,6,443,20,21,18724,1747,0,1440,936.2,583.5821,4.027793,0.3000859,0.9241378,3.332379,3119.773,-0.02439024,0.8293195,531,49755,15764,57,57,0,0,68,3018810426,20,18724,0,20,1747,0,4320,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,3175054466,2242945834,0.001,3175054.617,1687028945,0.000112,3.71e-05,1.870875,0.08956462,0.3887155,0.301533,0.9365905,0,0,0,0,0,1,9,5,15,15,3,134,128807,"0"
35,288230376151728128,5.996665,3,2048,443,53676,6,443,20,15,18750,1747,0,1440,937.5,581.9633,4.069845,0.2998332,0.9287501,3.335187,3126.738,0.1428571,0.829536,531,42375,23144,57,57,0,0,68,3687089499,20,18750,0,20,1747,0,7200,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,571575800,1137998934,0.001,571575.8271,1689632429,0.000136,6.3e-05,1.828124,0.122519,0.4403869,0.3383574,0.9666206,0,0,0,0,0,1,9,5,15,15,3,154,148591,"0"
37,288230376151728128,5.998437,3,2048,53677,443,6,443,19,20,1747,18954,0,1150,91.94736,252.0652,4.083348,0.3157072,0.9454203,3.167492,291.2426,-0.02564103,-0.8312159,2611,0,0,64,64,0,0,64,934687616,18,1747,0,18,18954,0,1230,65535,130153.6,65535,132480,9,6,10,283,0,19,61,286,1460,64,2146799427,924456286,0.001,2146799.529,1688057211,0.02260896,2.2e-05,4.083184,0.2194737,0.8628356,0.02282099,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,3723,59143,"0"
37,288230376151728128,6.002086,3,2048,443,53677,6,443,20,19,18954,1747,0,1440,947.7,571.2227,4.083249,0.3001043,0.9276708,3.332175,3157.902,0.02564103,0.8312159,531,65188,331,57,57,0,0,16452,3294347008,20,18954,0,20,1747,0,4401,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,924458201,2146799427,0.001,924458.2449,1689279552,0.000212032,1.4e-05,1.786699,0.09453938,0.38821,0.3140131,0.946146,0,0,0,0,0,1,9,5,15,15,3,174,169081,"0"
38,288230376151728128,5.994209,3,2048,53678,443,6,443,16,20,1747,19784,0,1150,109.1875,269.0673,4.055672,0.3746381,1.013471,2.669243,291.448,-0.1111111,-0.8377224,2611,0,0,64,64,0,0,64,429886109,15,1747,0,15,19784,0,1230,65535,129682.9,65535,132480,7,5,8,283,0,16,52,286,1460,64,340869356,924462260,0.001,340869.3722,1689863147,0.02407501,0.000225984,4.05549,0.2134095,0.8579713,0.02435802,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,4079,64727,"0"
38,288230376151728128,5.994102,3,2048,443,53678,6,443,20,16,19784,1747,0,1440,989.2,556.4194,4.055533,0.2997051,0.9270175,3.336613,3300.578,0.1111111,0.8377224,531,43636,21883,57,57,0,0,68,2714153358,20,19784,0,20,1747,0,5800,65160,64515.62,64512,65160,2,0,0,795,0,20,62,286,1452,512,924464195,340869356,0.001,924464.2389,1689279552,0.000283008,4.2e-05,1.84224,0.115895,0.4315892,0.3293045,0.9604082,0,0,0,0,0,1,9,5,15,15,3,194,190445,"0"
39,288230376151728128,6.004597,3,2048,53679,443,6,443,18,20,1747,20490,0,1150,97.05556,255.8576,4.000043,0.3335887,0.9608901,2.997703,290.9438,-0.05263158,-0.8428745,2611,0,0,64,64,0,0,64,2124864776,17,1747,0,17,20490,0,1230,65535,130095.8,65535,132480,6,5,7,283,0,18,58,286,1460,64,4252662582,3776567220,0.001,4252662.784,1685951361,0.02229504,4.2e-05,3.999817,0.209022,0.8465288,0.02256704,0,0,0,0,0,0,9,1,6,16,1.777778,2.666667,4505,70259,"0"
39,288230376151728128,6.006297,3,2048,443,53679,6,443,20,18,20490,1747,0,1440,1024.5,536.6779,4.000257,0.3003148,0.9221185,3.329839,3411.42,0.05263158,0.8428745,531,16645,48874,57,57,0,0,68,43798857,20,20490,0,20,1747,0,5760,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1452,512,3776569170,4252662582,0.004,15106277.4,1675097745,0.000272,2.9e-05,1.910814,0.1067692,0.4252196,0.3157912,0.947324,0,0,0,0,0,1,9,5,15,15,3,215,211850,"0"
