"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
16,288230376151728128,5.001169,3,2048,60943,443,6,443,17,22,1750,20034,0,1153,102.9412,265.1039,4.033009,0.2941864,0.92586,3.399205,349.9182,-0.1282051,-0.8393316,2611,0,0,64,64,0,0,64,2744006076,16,1750,0,16,20034,0,1233,65535,130199.2,65535,131328,5,8,6,283,0,17,55,286,1460,64,4263140243,3887786862,0.001,4263140.445,1685508453,0.02355699,0.000158016,4.032782,0.1941532,0.817521,0.023696,0,0,0,0,0,0,9,1,8,18,2,2.25,1112,47531,"0"
16,288230376151728128,5.00328,3,2048,443,60943,6,443,22,17,20034,1750,0,1368,910.6364,531.2778,4.032836,0.2274218,0.8301954,4.397115,4004.173,0.1282051,0.8393316,531,57863,7654,56,56,0,0,68,2296735750,22,20034,0,22,1750,0,8632,65160,64512.91,64512,65160,2,0,0,795,0,22,68,286,1380,512,3887787804,4263140243,0.001,3887787.989,1685883806,0.000139008,5.4e-05,0.864616,0.0516213,0.1971867,0.2457745,0.8409656,0,0,0,0,0,1,9,7,17,17,2.428571,162,146488,"0"
23,288230376151728128,5.000431,3,2048,60944,443,6,443,17,21,1750,21407,0,1153,102.9412,265.1039,4.037553,0.294143,0.9263212,3.399707,349.9698,-0.1052632,-0.8488578,2611,0,0,64,64,0,0,64,428814210,16,1750,0,16,21407,0,1233,65535,129952.9,65535,131328,6,6,7,283,0,17,55,286,1460,64,2247811779,2362879099,0.001,2247811.886,1687523787,0.02344301,0.000766016,4.037324,0.2015439,0.8360235,0.02360403,0,0,0,0,0,0,9,1,8,18,2,2.25,1204,51801,"0"
23,288230376151728128,5.002396,3,2048,443,60944,6,443,21,17,21407,1750,0,1368,1019.381,487.1734,4.037441,0.2382093,0.8476251,4.197988,4279.349,0.1052632,0.8488578,531,48081,17437,56,56,0,0,68,2454922816,21,21407,0,21,1750,0,10944,65160,64514.54,64512,65160,2,0,0,795,0,21,65,286,1380,512,2362880036,2247811779,0.001,2362880.148,1687408718,0.000161024,0.00010304,0.852146,0.05108596,0.1942959,0.2526298,0.8583043,0,0,0,0,0,1,9,7,17,17,2.428571,182,163896,"0"
26,288230376151728128,4.98903,3,2048,60945,443,6,443,19,23,1750,23467,0,1153,92.10526,252.6384,4.057677,0.2625805,0.887365,3.808356,350.7696,-0.0952381,-0.8612047,2611,0,0,64,64,0,0,64,746008790,18,1750,0,18,23467,0,1233,65535,130451,65535,131328,8,7,9,283,0,19,61,286,1460,64,4020063128,2362884099,0.001,4020063.319,1685751540,0.02180301,0.000315008,4.057415,0.1859933,0.806449,0.02210503,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,1341,57369,"0"
26,288230376151728128,4.991961,3,2048,443,60945,6,443,23,19,23467,1750,0,1368,1020.304,507.1252,4.057486,0.2170418,0.8176178,4.607408,4700.958,0.0952381,0.8612047,531,61585,3931,56,56,0,0,68,2897885764,23,23467,0,23,1750,0,9576,65160,64513.24,64512,65160,2,0,0,795,0,23,71,286,1380,512,2362885028,4020063128,0.001,2362885.14,1687408718,0.000302016,5.1e-05,0.827072,0.04442558,0.179566,0.2304188,0.8261985,0,0,0,0,0,1,9,6,16,16,2.666667,199,181309,"0"
27,288230376151728128,5.001694,3,2048,60946,443,6,443,16,20,1750,17408,0,1153,109.375,272.0483,4.092112,0.3126059,0.9613797,3.198916,349.8814,-0.1111111,-0.8173087,2611,0,0,64,64,0,0,64,2971173514,15,1750,0,15,17408,0,1233,65535,130119.2,65535,131328,5,6,6,283,0,16,52,286,1460,64,3384649868,2424734998,0.001,3384650.029,1686386958,0.02206099,0.00063904,4.091894,0.2141636,0.8659169,0.02228499,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,1426,61639,"0"
27,288230376151728128,5.000381,3,2048,443,60946,6,443,20,16,17408,1750,0,1368,870.4,533.8363,4.091961,0.250019,0.8757414,3.999695,3481.335,0.1111111,0.8173087,531,29225,36294,56,56,0,0,68,896585264,20,17408,0,20,1750,0,10153,65160,64513.86,64512,65160,2,0,0,795,0,20,62,286,1380,512,2424735938,3384649868,0.001,2424736.053,1687346872,0.000224,6.7e-05,0.812497,0.05180118,0.1901887,0.2659648,0.8865573,0,0,0,0,0,1,9,6,16,16,2.666667,219,198704,"0"
28,288230376151728128,4.997791,3,2048,60947,443,6,443,15,19,1750,17413,0,1153,116.6667,279.5474,4.003457,0.3331861,0.9692381,3.001326,350.1547,-0.1176471,-0.8173563,2611,0,0,64,64,0,0,64,39865969,14,1750,0,14,17413,0,1233,65535,129646.4,65535,131328,5,5,6,283,0,15,49,286,1460,64,2639705548,2424740001,0.001,2639705.673,1687131909,0.02084595,0.00056,4.003221,0.2202081,0.8665769,0.02101593,0,0,0,0,0,0,9,1,7,17,1.888889,2.428571,1558,67208,"0"
28,288230376151728128,5.000362,3,2048,443,60947,6,443,19,15,17413,1750,0,1368,916.4737,529.3723,4.003325,0.2631769,0.8796324,3.799725,3482.348,0.1176471,0.8173563,531,21032,44488,56,56,0,0,68,2356981871,19,17413,0,19,1750,0,10944,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1380,512,2424740942,2639705548,0.001,2424741.057,1687346872,0.000169984,6.6e-05,0.900029,0.0609704,0.216655,0.2811785,0.8932496,0,0,0,0,0,1,9,6,16,16,2.666667,237,216099,"0"
