"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isLab"
87,288230376151728128,7.062842,3,2048,51107,7000,6,7000,7,0,0,0,0,0,0,0,2.047864,1.008977,0.4732529,0.9911025,0,1,0,19,0,0,63,63,0,96,64,1602820272,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,194,1,7,49,286,1386,0,1667464788,0,0.01,16674647.51,1674412659,0,65535,0,0,0,0,0,3,0,0,0,0,1,7,1,1,1,1,49,0,"1"
95,288230376151728128,0,3,2048,68,67,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01065699,0.01065699,0.01065699,0.01065699,0,0.01065699,0,0,0,0,0,0,1,1,2,2,2,1,7269,1041659,"1"
144,288230376151728128,6.966481,3,2048,56515,7000,6,7000,7,0,0,0,0,0,0,0,1.948572,0.9952115,0.4510208,1.004811,0,1,0,19,0,0,64,64,0,96,64,208838839,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1661450872,0,0.001,1661450.951,1689418291,0,65535,0,0,0,0,0,3,0,0,0,0,1,4,1,1,1,1,60,1370,"1"
28,288230376151728128,7.06473,3,2048,56448,7000,6,7000,7,0,0,0,0,0,0,0,2.049281,1.009247,0.4752493,0.9908376,0,1,0,19,0,0,64,64,0,96,64,301368797,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,3977706129,0,0.01,39777060.4,1651301235,0,65535,0,0,0,0,0,3,0,0,0,0,1,3,2,2,2,1,26,0,"1"
181,288230376151728128,7.064076,3,2048,64421,7000,6,7000,7,0,0,0,0,0,0,0,2.057693,1.009154,0.4768133,0.9909293,0,1,0,19,0,0,63,63,0,96,64,876498383,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,4134691143,0,0.01,41346910.51,1649752701,0,65535,0,0,0,0,0,3,0,0,0,0,1,4,2,2,2,1,41,0,"1"
180,288230376151728128,1020.011542,3,2048,0,0,2,0,18,0,0,0,0,0,0,0,60.00734,56.66731,10.87071,0.01764686,0,1,0,1,35994,4895,1,1,0,192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,55,0,"1"
188,288230376151728128,6.963721,3,2048,64832,7000,6,7000,7,0,0,0,0,0,0,0,1.94648,0.9948173,0.4480802,1.00521,0,1,0,19,0,0,62,62,0,0,64,4109205521,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1361764517,0,0.001,1361764.582,1689738008,0,65535,0,0,0,0,0,3,0,0,0,0,1,5,1,1,1,1,5757,847162,"1"
27,288230376151728128,6.657497,3,2048,57731,7000,6,7000,7,0,0,0,0,0,0,0,1.944274,0.951071,0.4679473,1.051446,0,1,0,19,0,0,63,63,0,96,64,1174317554,0,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4096,7,49,286,1386,0,10154662,0,0.001,10154.66248,1691086530,0,65535,0,0,0,0,0,3,0,0,0,0,1,7,2,2,2,1,30,0,"1"
6,288230376151728128,3539.987516,3,2048,0,0,2,0,60,0,0,0,0,0,0,0,60.01808,58.99979,6.140123,0.01694921,0,1,0,1,2228,3744,1,1,0,192,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,1,3,1,1,1,1,60,0,"1"
209,288230376151728128,0,3,2048,20558,22,6,22,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,1593979382,0,0,0,0,0,0,0,64952,64952,64952,64952,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,0,1,4,9,9,9,1,75,0,"1"
