"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpEchoSuccRatio","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
679,576460752303456256,28.202038,3,34525,5353,5353,17,5353,8,0,864,0,108,108,108,0,11.77624,3.525255,3.338171,0.2836674,30.63608,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0.5,1,253,51385,"0"
690,288230376151728128,0,3,2048,53,52536,17,53,1,1,208,39,208,208,208,0,0,0,0,0,0,0,0.6842105,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.005732992,0,0,0,0,0,0,1,7,35,35,35,1,105,18094,"0"
308,288230376151728128,6.000822,3,2048,443,51749,6,443,19,19,17487,1747,0,1440,920.3684,575.8231,4.086717,0.3158328,0.9512917,3.166233,2914.101,0,0.8183425,531,46243,19277,57,57,0,0,68,4294358180,19,17487,0,19,1747,0,5760,65160,64514.65,64512,65160,2,0,0,795,0,19,59,286,1452,512,3461234276,2029872891,0.001,3461234.44,1686427453,0.000169984,2.1e-05,1.817343,0.0962883,0.3948401,0.3219364,0.9685714,0,0,0,0,0,1,6,5,11,11,2.2,4526,4254147,"0"
518,288230376151728128,5.993832,3,2048,51915,443,6,443,19,38,1747,43763,0,1150,91.94736,249.9253,3.965529,0.3154649,0.9319018,3.169925,291.4663,-0.3333333,-0.9232256,2611,0,0,64,64,0,0,64,3509182088,18,1747,0,18,43763,0,1230,65535,128136.2,65535,132480,9,6,10,283,0,19,61,286,1460,64,3380624503,610075394,0.001,3380624.664,1686509006,0.02386099,0.000198976,3.965368,0.1150224,0.6244196,0.023992,0,0,0,0,0,0,6,1,6,10,1.666667,1.666667,126906,2166900,"0"
187,288230376151728128,4.993847,3,2048,54537,443,6,443,15,20,1747,17561,0,1150,116.4667,278.9079,4.020844,0.3329231,0.9721298,3.003696,349.8305,-0.1428571,-0.8190387,2611,0,0,64,64,0,0,64,416618278,14,1747,0,14,17561,0,1230,65535,129726,65535,132480,6,4,7,283,0,15,49,286,1460,64,907917266,1184023882,0.001,907917.3091,1689300736,0.02141798,4.2e-05,4.020516,0.2143551,0.8499361,0.02156397,0,0,0,0,0,0,6,1,7,15,2.5,2.142857,41644,688429,"0"
436,288230376151728128,0,3,2048,53,62199,17,53,1,1,225,47,225,225,225,0,0,0,0,0,0,0,0.6544118,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.008109984,0,0,0,0,0,0,1,6,15,15,15,1,59,9940,"0"
427,288230376151728128,4.997365,3,2048,54743,443,6,443,14,18,1747,17547,0,1150,124.7857,284.463,4.089004,0.3569547,1.014118,2.801476,349.5842,-0.125,-0.8189074,2611,0,0,64,64,0,0,64,101104002,13,1747,0,13,17547,0,1230,65535,129169.5,65535,132480,6,4,7,283,0,14,46,286,1460,64,2220974660,4237756841,0.001,2220974.765,1687988664,0.02237504,0.000476992,4.088793,0.2405452,0.9054965,0.02260301,0,0,0,0,0,0,5,1,7,11,2.2,1.571429,103736,1685607,"0"
914,288230376151728128,1.845831,3,2048,443,56458,6,443,16,14,7451,1759,0,1440,465.6875,513.7844,1.702137,0.1153644,0.3961467,8.668182,4036.664,0.06666667,0.6180239,16915,1,42425,55,55,0,0,16448,2114415803,16,7451,0,16,1759,0,6164,65160,64237.43,64128,65160,2,0,0,795,0,16,53,318,1452,128,1026013789,3793758541,0.001,1026013.838,1688939402,0.000246016,8e-05,1.681,0.1321272,0.42937,0.1535974,0.4295754,0,0,0,0,0,1,9,1,11,11,11,16,7451,"0"
58,288230376151728128,5.000019,3,2048,54426,443,6,443,19,19,1747,17377,0,1150,91.94736,249.9253,3.999115,0.2631589,0.8771393,3.799985,349.3987,0,-0.8172976,2611,0,0,64,64,0,0,64,2809632144,18,1747,0,18,17377,0,1230,65535,129878.8,65535,132480,9,5,10,283,0,19,61,286,1460,64,3625592167,53974316,0.001,3625592.339,1686582561,0.02535699,1.7e-05,3.998898,0.2229744,0.8649797,0.02549299,0,0,0,0,0,0,7,1,7,15,2.142857,2.142857,11458,175337,"0"
850,288230376151728128,5.001211,3,2048,55096,443,6,443,14,19,1747,17580,0,1150,124.7857,284.463,4.011196,0.3572294,0.9977595,2.799322,349.3154,-0.1515152,-0.8192167,2611,0,0,64,64,0,0,64,2284071750,13,1747,0,13,17580,0,1230,65535,129555,65535,132480,5,4,6,283,0,14,46,286,1460,64,1430617467,3182328746,0.001,1430617.535,1688780656,0.02141498,0.000272,4.010982,0.2228659,0.8677585,0.02154502,0,0,0,0,0,0,5,1,8,12,2.4,1.5,212405,3338909,"0"
