"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
930,288230376151728128,1.21092,3,2048,443,53013,6,443,1155,2041,7018,2663740,0,1368,6.07619,71.69215,0.872998,0.001048416,0.02574556,953.8203,5795.594,-0.2772215,-0.9947445,18963,1,7153,120,120,0,0,16452,492316896,1154,6979,0,1155,2665109,14,4104,65535,3892522,65535,3893504,68,1025,69,795,72,1155,3638,318,1380,256,1739968516,783306466,0.1,173996854.2,1512269445,2e-04,1.4e-05,0.004935008,0.000642924,0.000518033,0.01196346,0.0574928,2,0,0,0,1,6,145,155,155,1.068966,395999,3429378,"0"
1275,288230376151728128,4.329989,3,2048,443,56395,6,443,22370,42146,17373,53168686,0,1368,0.7766204,17.39073,1.217106,0.000193563,0.008614975,5166.295,4012.25,-0.3065286,-0.9993467,18999,1,51336,120,120,0,0,18500,637697790,22331,17814,0,22370,62659342,61,4699,65535,2548664,65535,2550016,13774,6897,13775,795,584,22370,8428,318,1380,256,3055858074,668397419,0.001,3055858.219,1693976663,0.000209024,0,0.01484,0.001367562,0.001821191,0.007542671,0.01985909,2,0,0,0,1,7,15,59,59,3.933333,1670532,2237496,"0"
1894,288230376151728128,0,3,2048,60678,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,2386545618,0,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000206016,0.000206016,0.000206016,0.000206016,0,0.000206016,0,3,0,0,0,1,2,2,2,2,1,33,123,"0"
699,288230376151728128,0.935705,3,2048,52806,443,6,443,1031,564,1388679,6695,0,1368,1346.924,162.4389,0.634283,0.00090757,0.01988092,1101.843,1484099,0.29279,0.990404,2611,0,1,64,64,0,0,16452,4180076790,1030,1388680,0,1030,6695,0,258063,65535,130941.5,65535,131328,9,9,10,283,0,1031,3097,286,1460,64,4097751362,855795930,0.001,4097751.557,1682168264,0.03091104,2e-05,0.6340879,0.0159447,0.05275569,0.03112102,0,2,0,0,0,5,1,176,178,35.6,1.011364,1050599,1385771252,"0"
1232,288230376151728128,6.339538,3,2048,443,54303,6,443,40503,77278,22084,97538952,0,1368,0.5452436,13.12981,0.802822,0.000156519,0.004459754,6388.951,3483.535,-0.312232,-0.9995472,18963,1,47499,120,120,0,0,18500,1214176065,40491,22102,0,40503,97769134,1257,4104,65535,3932416,65535,3932416,23,982,24,795,712,40503,5181,318,1380,256,1439365908,444234893,0.1,143936592.9,1542312544,0.000196,0,0.03172299,0.001069709,0.001375997,0.009297024,0.01105218,2,0,0,0,1,4,53,53,53,1,601770,560136,"0"
46,288230376151728128,1.000992,3,2048,443,52246,6,443,552,1135,6767,1521972,0,1368,12.25906,103.4477,0.709032,0.001813391,0.03024361,551.453,6760.294,-0.3455839,-0.9911469,18963,1,23026,120,120,0,0,16452,3879370663,552,6767,0,552,1523341,2,4698,65535,2249055,65535,2249984,21,507,22,795,8,552,1679,318,1380,256,4186947558,2587141584,0.001,4186947.757,1682078301,0.000209024,2.4e-05,0.002906016,0.000487357,0.000442508,0.01346829,0.059999,2,0,0,0,1,5,165,167,167,1.012121,84126,767162,"0"
483,288230376151728128,1.033905,3,2048,52619,443,6,443,1031,463,1388679,6762,0,1368,1346.924,162.4389,0.701977,0.001002818,0.02198778,997.1902,1343140,0.3801874,0.9903085,18995,0,1,64,64,0,0,18500,4188867640,1030,1388680,0,1030,6723,1,245751,65535,130873,65535,131328,7,9,8,283,8,1031,3100,318,1460,64,2194238116,2975792504,0.1,219423814.9,1466841945,0.030304,3.7e-05,0.70182,0.01745168,0.07206338,0.03049901,0,2,0,0,0,7,1,174,176,25.14286,1.011494,755843,996579099,"0"
1624,288230376151728128,0.302187,3,2048,443,53509,6,443,16,16,8573,2296,0,1368,535.8125,578.0048,0.143509,0.01888669,0.03237892,52.94735,28369.85,0,0.5775141,531,1,28323,56,56,0,0,64,3576151610,16,8573,0,16,2296,0,2736,65160,64182.57,64128,65160,2,0,0,795,0,16,50,286,1380,128,2983483696,3623683024,1,2983483696,1.84467e+19,0.000267968,3.6e-05,0.01462099,0.00197268,0.00360764,0.02628,0.03476531,0,0,0,0,1,8,3,27,27,9,55,31813,"0"
184,288230376151728128,1.135234,3,2048,51535,443,6,443,1168,365,1565727,6809,0,1368,1340.52,186.0059,0.787379,0.000971947,0.02316684,1028.863,1379211,0.5238096,0.9913401,18995,0,1,64,64,0,0,16452,4098080874,1167,1565728,0,1167,6770,1,300575,65535,130873.5,65535,131328,9,8,10,283,8,1168,3511,318,1460,64,3618579101,814092441,0.001,3618579.273,1682621624,0.03230797,4.1e-05,0.787186,0.02204036,0.09113468,0.03252397,0,2,0,0,0,6,1,116,140,23.33333,1.206897,313921,414385255,"0"
929,288230376151728128,1.39308,3,2048,54869,443,6,443,928,639,1233951,7049,0,1368,1329.689,220.2084,1.107645,0.001501164,0.03638325,666.1498,885771.8,0.1844288,0.9886398,18995,0,1,64,64,0,0,16452,1748396853,927,1233951,0,927,7010,0,213408,65535,130935.8,65535,131328,8,7,9,283,0,928,2791,318,1460,64,517045904,3207607633,0.1,51704591.17,1645326911,0.02133,4.2e-05,1.10695,0.01654516,0.09707812,0.021532,0,0,0,0,0,6,1,110,114,19,1.036364,959658,1237904368,"0"
999,288230376151728128,1.21135,3,2048,443,53075,6,443,1095,2148,7019,2813282,0,1368,6.410046,73.62259,0.848035,0.001106256,0.02569273,903.9502,5794.362,-0.3246993,-0.9950225,18963,1,23755,120,120,0,0,16452,3489393381,1094,6980,0,1095,2813283,16,4104,65535,3934208,65535,3934208,12,733,13,795,200,1095,3467,318,1380,256,3677124370,3044571643,0.001,3677124.545,1682589262,0.000185984,1.5e-05,0.004514,0.000687289,0.000571215,0.01128234,0.05283843,2,0,0,0,1,6,27,79,79,2.925926,395999,3429378,"0"
1398,288230376151728128,31.124899,3,2048,52386,443,6,443,18,17,3203,6807,0,1368,177.9444,347.4278,30.76358,1.729161,6.786408,0.5783151,102.908,0.02857143,-0.3600399,2579,0,0,64,64,0,0,64,447978111,14,3203,0,14,6783,0,2662,65535,1563.383,0,65535,2,1,2,287,0,15,49,286,1460,64,286824690,2562665796,0.004,1147298.814,1685094590,0.03001299,0.001705024,0.098064,0.04078049,0.02706238,0.03019402,0,82,0,0,0,12,1,6,66,5.5,11,7111293,9124653021,"0"
74,288230376151728128,1.403762,3,2048,53044,443,6,443,985,691,1312580,7114,0,1368,1332.568,210.4236,1.124539,0.001425139,0.03584885,701.6859,935044.6,0.1754177,0.9892187,2611,0,1,64,64,0,0,16452,313158848,984,1312581,0,984,7114,0,164160,65535,130929.4,65535,131328,9,8,10,283,0,985,2959,286,1460,64,3507220379,442479026,0.001,3507220.546,1693523233,0.02130298,5.6e-05,1.124297,0.0131305,0.08507125,0.02152096,0,2,0,0,0,36,1,122,206,5.722222,1.688525,151683,195800424,"0"
334,288230376151728128,1.243916,3,2048,52492,443,6,443,1384,813,1835472,6790,0,1368,1326.208,230.8078,0.900262,0.000898783,0.02427866,1112.615,1475559,0.2598999,0.9926286,18995,0,1,64,64,0,0,16452,3317185456,1383,1835473,0,1383,6751,1,230097,65535,130876.2,65535,131328,9,10,10,283,8,1384,4159,318,1460,64,180911168,1956614173,0.1,18091117.07,1668174472,0.03141798,4.1e-05,0.900113,0.01466968,0.07006863,0.03160896,0,2,0,0,0,8,1,116,180,22.5,1.551724,557199,734592911,"0"
1138,288230376151728128,1.46466,3,2048,443,55698,6,443,2424,4284,8818,5462227,0,1368,3.637789,49.91307,1.022645,0.000604233,0.02079935,1654.992,6020.51,-0.2772809,-0.9967765,18999,1,23257,120,120,0,0,16452,117462456,2423,8779,0,2424,6046002,4,4698,65535,3306187,65535,3309568,1195,1132,1196,795,72,2424,7844,318,1380,256,3237408886,1859051942,0.001,3237409.04,1693794628,0.000219008,2.2e-05,0.007315008,0.001193883,0.001315689,0.008507031,0.04679477,2,0,0,0,1,7,7,47,47,6.714286,1269651,3380512,"0"
1363,288230376151728128,5.850564,3,2048,51224,443,6,443,73583,39098,92878193,21758,0,1368,1262.224,361.1862,0.829018,7.95e-05,0.003314642,12577.08,15900000,0.3060409,0.9995316,18995,0,1,64,64,0,0,18500,800218823,8046,92878194,0,8046,21719,3,968699,65535,130985.1,65535,131328,242,240,243,283,8,8047,24148,318,1460,64,644389209,1745934806,0.001,644389.2396,1685615947,0.03124499,9.92e-07,0.828806,0.008312123,0.01180302,0.03147302,0,2,0,0,0,6,1,24,28,4.666667,1.166667,13664647,17391432822,"0"
960,288230376151728128,1.05893,3,2048,50959,443,6,443,1522,802,2008205,6832,0,1368,1319.451,247.9828,0.710041,0.000695749,0.01831105,1437.3,1896447,0.3098107,0.993219,18995,0,1,64,64,0,0,16452,4093937634,1521,2008206,0,1521,6793,1,295866,65535,130878.5,65535,131328,10,11,11,283,8,1522,4573,318,1460,64,4045981226,1410921037,0.1,404598128.6,1281661054,0.02745997,0.000113,0.7099171,0.01500402,0.05561249,0.02758298,0,2,0,0,0,6,1,40,68,11.33333,1.7,2408888,3113570945,"0"
1327,288230376151728128,4.646046,3,2048,443,56665,6,443,26180,50244,18720,63354380,0,1368,0.7150497,16.15668,1.132112,0.000177465,0.00752092,5634.899,4029.232,-0.3148749,-0.9994092,18995,1,61088,120,120,0,0,18500,3667799784,26171,18729,0,26180,63505060,626,4698,65535,2931408,65535,2931712,17433,6362,17434,795,584,26180,19084,318,1380,256,1010913666,2751059744,0.001,1010913.714,1696021791,0.00020704,1.2e-05,0.024743,0.001332368,0.002668974,0.006107002,0.01762737,2,0,0,0,1,10,1,51,51,51,1565191,1862352,"0"
1200,288230376151728128,116.000927,3,2048,443,51118,6,443,17,15,6599,1870,0,1368,388.1765,486.7356,115.8588,6.823585,26.3352,0.1465506,56.88747,0.0625,0.5583894,531,58824,6698,56,56,0,0,16452,3812113268,16,6599,0,16,1846,0,1368,65160,45010.02,0,65160,3,0,0,799,0,16,50,286,1380,256,2308593282,1473428726,0.001,2308593.392,1683951364,0.000127008,3.3e-05,0.006238016,0.000716267,0.0014442,13.64701,36.09565,66,0,0,0,1,6,1,45,45,45,17,6599,"0"
988,288230376151728128,1.155587,3,2048,443,54151,6,443,674,1510,6880,2006196,0,1368,10.20772,94.61044,0.84281,0.001714521,0.03251534,583.2534,5953.685,-0.3827839,-0.9931647,18967,1,11576,120,120,0,0,16452,4239208009,672,6841,0,674,2092687,0,4698,65535,3356936,65535,16776960,36,611,37,795,8256,674,2080,318,1380,256,1939745139,1494392510,0.1,193974516.8,1492273885,0,5.1e-05,0.004157984,0.000556992,0.000456368,0.01367127,0.07221505,2,0,0,0,1,6,39,45,45,1.153846,572214,2889345,"0"
1398,288230376151728128,0.109304,3,2048,58780,443,6,443,12,16,924,9637,0,517,77,136.5505,0.024621,0.009108667,0.007717364,109.7855,8453.487,-0.1428571,-0.8250166,2579,0,0,64,64,0,0,64,1996933332,8,924,0,8,9613,0,517,65535,43667.09,0,131328,2,1,3,287,0,9,31,286,1460,64,685970503,3127105878,1,685970503,1011062721,0.015288,0.00088896,0.01529504,0.01267526,0.003250888,0.01668902,0,82,0,0,0,8,1,2,22,2.75,11,15709916,20053110866,"0"
1474,288230376151728128,0.084286,3,2048,54156,7000,6,7000,6,6,41,1716,0,41,6.833333,12.68929,0.037786,0.01404767,0.01333366,71.1862,486.4391,0,-0.9533296,2579,0,0,63,63,0,96,16448,1482607050,5,41,0,5,1716,0,41,65535,120071,65535,131904,1,2,2,283,0,6,22,286,1386,64,270778749,433841193,1,270778749,1415471319,0.000531,0.000139,0.009093,0.003206167,0.003534828,0.015646,0,0,0,0,0,1,6,2,2,2,1,55,205,"0"
1400,288230376151728128,0,3,2048,67,68,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.005491008,0,0,0,0,0,1,6,1,1,1,1,3,900,"0"
20,288230376151728128,1.214104,3,2048,443,52231,6,443,932,1804,7006,2333485,0,1368,7.517168,79.75888,0.874977,0.001302687,0.02872537,767.6442,5770.51,-0.3187135,-0.9940132,18995,1,16546,120,120,0,0,16452,32355929,931,6967,0,932,2344451,17,4104,65535,3307857,65535,3310848,89,784,90,795,72,932,3017,318,1380,256,1641568073,1445189843,0.1,164156809.7,1522108419,0.000176,3.6e-05,0.005300992,0.000855107,0.000690884,0.01545207,0.06353514,2,0,0,0,1,5,167,169,169,1.011976,73735,676111,"0"
296,288230376151728128,1.275029,3,2048,52457,443,6,443,1746,759,2298494,6944,0,1368,1316.434,255.9624,0.905809,0.000730257,0.02174735,1369.381,1802700,0.394012,0.993976,18995,0,1,64,64,0,0,16452,865382323,1744,2298495,0,1744,6905,2,268329,65535,130980.6,65535,131328,14,11,15,283,12288,1746,5249,318,1460,64,2480325598,4184590444,0.1,248032563.5,1438232976,0,3.7e-05,0.905662,0.01184517,0.06537574,0.00013,0,6,0,0,0,6,1,168,174,29,1.035714,500985,660549615,"0"
69,288230376151728128,0,3,2048,8149,59806,6,8149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000208,0,67,0,0,0,2,1,1,1,0.5,1,54240,71679626,"0"
515,288230376151728128,1.010397,3,2048,443,52651,6,443,735,1434,6913,1903155,0,1368,9.405442,89.65691,0.703516,0.00137469,0.02601216,727.4369,6841.865,-0.3222683,-0.9927615,18999,1,15555,120,120,0,0,16452,154830043,734,6874,0,735,1909996,9,4104,65535,2996967,65535,2997504,33,650,34,795,200,735,2288,318,1380,256,1886025728,3150463871,0.01,18860256.86,1667405548,0.000145008,2.2e-05,0.007259008,0.000446349,0.000371768,0.01037608,0.05176285,2,0,0,0,1,9,165,177,177,1.072727,141221,1216429,"0"
566,288230376151728128,1.009197,3,2048,443,52691,6,443,671,1224,6824,1615456,0,1368,10.1699,93.79031,0.699188,0.001504019,0.02707114,664.8851,6761.812,-0.2918206,-0.9915872,18995,1,29187,120,120,0,0,16452,376675079,670,6785,0,671,1616846,5,4104,65535,2325551,65535,2328064,42,586,43,795,200,671,2105,318,1380,256,2788864290,662216145,0.01,27888642.28,1658377217,0.000232,2.9e-05,0.004539,0.000592161,0.000460635,0.01138339,0.05384489,2,0,0,0,1,9,87,179,179,2.057471,141221,1216429,"0"
627,288230376151728128,1.102879,3,2048,443,50661,6,443,973,2377,7087,3103181,0,1368,7.283659,78.06287,0.736561,0.001133483,0.02370006,882.2364,6425.909,-0.4191045,-0.9954428,18999,1,57022,120,120,0,0,16452,175329695,972,7048,0,973,3269469,3,4697,65535,3518600,65535,3521536,143,753,144,795,72,973,3152,318,1380,256,3669508121,1780116645,0.1,366950817.6,1319307951,0.000232,1.9e-05,0.004667008,0.00050016,0.000418963,0.0114286,0.05278115,2,0,0,0,1,6,169,171,171,1.011834,266200,2432595,"0"
1589,576460752303456256,1040.54059,3,34525,5353,5353,17,5353,66,0,38272,0,41,1166,579.8788,365.9401,157.3587,15.76576,32.00706,0.06342857,36.78088,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,315,80585,"0"
1583,288230376151728128,11.754588,3,2048,443,53491,6,443,53535,170117,43978,214424029,0,1368,0.8214813,12.33782,0.71369,0.000219569,0.003852019,4554.392,3741.348,-0.5212652,-0.9995899,18999,1,30353,120,120,0,0,16452,2442591233,53524,43987,0,53535,214920788,1807,4698,65535,3404481,65535,3405056,28533,14086,28534,795,712,53535,63288,318,1380,256,3174807264,3005139387,0.001,3174807.415,1683093501,0.000189024,1.2e-05,0.02799002,0.001215165,0.00246806,0.008639667,0.009906117,2,0,0,0,1,6,15,19,19,1.266667,3775372,4440888,"0"
