"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
593,288230376151728128,1.249022,3,2048,443,55658,6,443,1066,2340,8116,3227579,0,1400,7.613508,81.64924,0.794507,0.001171691,0.0243704,853.4678,6497.884,-0.3740458,-0.9949834,18967,1,37701,123,123,0,192,16452,166283635,1061,9079,0,1066,2959080,48,4698,65535,3741121,65535,3741440,208,774,209,795,712,1066,3953,318,1412,256,3787930942,2511547749,0.001,3787931.122,1682107227,0.00019104,1.7e-05,0.004204,0.000347243,0.000334962,0.008621597,0.04223038,2,0,0,0,1,12,137,167,167,1.218978,162928,1379759,"0"
446,288230376185282560,0,4,2048,56293,1900,17,1900,1,0,515,0,515,515,515,0,0,0,0,0,0,1,1,1,65535,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,4,4,4,1,128,35610,"0"
1038,288230376151728128,3.253158,3,2048,443,57359,6,443,9203,19183,11568,26804625,0,1400,1.256981,26.09592,0.775724,0.000353489,0.008140515,2828.943,3555.929,-0.3515818,-0.9991372,18999,1,51591,123,123,0,192,16452,1113167963,9201,12569,0,9203,26481164,85,4696,65535,3933952,65535,3933952,192,727,193,795,712,9203,28700,318,1412,256,1937504878,1415412228,0.1,193750490.7,1492153063,2e-04,7e-06,0.00416896,0.000195813,0.000224013,0.003277399,0.01698698,2,0,0,0,1,5,35,35,35,1,546881,528366,"0"
1000,288230376151728128,0,3,2048,53,54805,17,53,1,1,233,40,233,233,233,0,0,0,0,0,0,0,0.7069597,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.008838,0,0,0,0,0,1,9,7,7,7,1,1,292,"0"
497,288230376151728128,1.14913,3,2048,59425,443,6,443,2339,1091,3229846,6974,0,1400,1380.866,143.3612,0.6625,0.000491291,0.0137955,2035.453,2810688,0.3638484,0.9956908,2611,0,1,64,64,0,0,16452,292693691,2315,3880186,1,2338,6974,0,180807,65535,130880.4,65535,131584,17,16,18,283,68,2339,7021,286,1460,64,1143536175,1685751835,0.1,114353619.2,1571566619,0.026353,1.5e-05,0.662413,0.007783315,0.04009021,0.026465,0,2,0,0,0,9,1,8,166,18.44444,20.75,919072,1244222794,"0"
440,288230376151728128,2.156986,3,2048,443,55536,6,443,1458,3068,8120,4248225,0,1400,5.569273,70.0158,0.796121,0.001479414,0.02159039,675.9432,3764.512,-0.3557225,-0.9961845,18999,1,45312,123,123,0,192,16452,2268137784,1453,9085,1,1458,2948886,442,4698,65535,3860327,65535,3860736,31,922,32,795,716,1458,5795,318,1412,256,1262200789,3897134993,0.1,126220080.8,1559674907,0.000195008,1.5e-05,0.172274,0.001779355,0.004380419,0.0127651,0.03136445,2,0,0,0,1,5,155,157,157,1.012903,78739,645671,"0"
215,288230376151728128,1.043567,3,2048,56654,443,6,443,1705,683,2348087,6839,0,1400,1377.177,154.6468,0.671217,0.000612063,0.01632982,1633.819,2250059,0.4279732,0.9941918,18995,0,1,64,64,0,0,16452,4285681821,1690,2840205,1,1704,6839,0,236703,65535,130948.2,65535,131584,12,13,13,283,68,1705,5122,318,1460,64,253989236,3990077410,0.1,25398923.98,1660502960,0.02777805,2e-06,0.671064,0.0099656,0.05098365,0.02798304,0,2,0,0,0,8,1,2,158,19.75,79,472607,634423904,"0"
49,288230376151728128,30.619091,3,2048,443,57747,6,443,11,14,6851,1907,0,1452,622.8182,566.9193,30.27344,2.783554,8.247471,0.359253,223.7493,-0.12,0.5645124,2577,1,1,113,113,0,0,16448,2486943223,11,6851,0,11,1908,0,6294,65535,512314.6,65535,525568,2,2,3,795,0,1,6,30,1440,256,0,0,0,0,0,7.9e-05,7.9e-05,30.19093,4.313896,10.13112,4.39639,10.13112,0,0,0,0,1,22,15,117,117,7.8,85,55260,"0"
439,288230376151728128,1.964057,3,2048,59374,443,6,443,4299,1318,3975578,6975,0,1400,924.7681,622.4968,0.713032,0.000456864,0.01140781,2188.837,2024166,0.5307103,0.9964972,2611,0,1,64,64,0,0,16452,700124268,4266,6346402,1,4298,6975,0,951063,65535,130880,65535,131584,18,18,19,283,196,4299,12901,286,1460,64,454096789,2562592853,0.001,454096.8106,1685466069,0.02588701,1.6e-05,0.712888,0.01078325,0.0398439,0.02607798,0,2,0,0,0,9,1,106,164,18.22222,1.54717,830831,1125694888,"0"
571,288230376151728128,1.034576,3,2048,53883,443,6,443,1085,483,1492954,6739,0,1400,1375.995,176.9405,0.744337,0.000953526,0.02265401,1048.739,1443059,0.3839286,0.9910128,18995,0,1,64,64,0,0,16452,4075958017,1077,1732167,1,1084,6700,1,67200,65535,130826.8,65535,131584,9,10,10,283,76,1085,3262,318,1460,64,3093774282,1798728631,0.1,309377432.8,1376679702,0.02612602,2.1e-05,0.74418,0.01472803,0.07501617,0.02631802,0,2,0,0,0,7,1,82,152,21.71428,1.853659,959871,1297191311,"0"
339,288230376151728128,2.048406,3,2048,443,55441,6,443,1448,2920,7020,4043116,0,1400,4.848066,64.75643,0.75837,0.001414645,0.02070434,706.8912,3427.055,-0.3369963,-0.9965335,18995,1,36304,123,123,0,192,16452,1390024094,1447,6981,0,1448,2783125,470,4698,65535,3269111,65535,3269376,28,903,29,795,200,1448,5780,318,1412,256,633417346,185033859,0.1,63341735.54,1622553102,0.000208,9.02e-06,0.172764,0.001630429,0.004231914,0.01372358,0.04212819,0,0,0,0,1,5,151,155,155,1.02649,96581,871424,"0"
201,288230376151728128,0,3,2048,53,57825,17,53,1,1,109,42,109,109,109,0,0,0,0,0,0,0,0.4437086,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.005997,0,0,0,0,0,1,3,5,5,5,1,47,14617,"0"
283,288230376151728128,0,3,2048,56890,53,17,53,1,1,36,292,36,36,36,0,0,0,0,0,0,0,-0.7804878,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01033501,0.01033501,0.01033501,0.01033501,0,0.01033501,0,0,0,0,0,3,2,2,2,0.6666667,1,643212,872100443,"0"
101,288230376151728128,1.033769,3,2048,443,57787,6,443,644,1526,7916,2103673,0,1400,12.29193,104.826,0.694645,0.001605231,0.02740217,622.9631,7657.417,-0.4064516,-0.9925023,18999,1,3295,123,123,0,192,16452,1053948054,639,8885,0,644,1831400,29,4696,65535,1910756,65535,1911552,173,381,174,795,712,644,2606,318,1412,256,2170929442,2328916109,0.1,217092947.4,1468819539,0.00018496,1.09e-05,0.004606976,0.00028029,0.000267165,0.008359713,0.03870508,2,0,0,0,1,4,159,159,159,1,96942,874431,"0"
336,288230376151728128,1.116635,3,2048,443,59282,6,443,839,1870,7934,2569143,0,1400,9.456496,92.05531,0.73546,0.001330912,0.02544229,751.3646,7105.276,-0.3805832,-0.9938427,18999,1,53300,123,123,0,192,16452,305006800,834,8899,1,839,2242322,9,4696,65535,3332083,65535,3332608,70,669,71,795,716,839,3401,318,1412,256,2976274903,3964650055,0.1,297627494.7,1388292533,0.000180992,8e-06,0.004556032,0.000430008,0.000336853,0.0101996,0.03658956,2,0,0,0,1,3,157,157,157,1,106662,933313,"0"
390,288230376151728128,1.247556,3,2048,55491,443,6,443,1972,767,2716690,6943,0,1400,1377.632,155.7179,0.876831,0.000632635,0.01977988,1580.691,2177610,0.4399416,0.9949017,18995,0,1,64,64,0,0,16452,4117031487,1948,3794101,1,1971,6904,1,234318,65535,130986.8,65535,131584,13,15,14,283,76,1972,5926,318,1460,64,2701244239,633496710,0.001,2701244.367,1683193673,0.024768,1.6e-05,0.876632,0.005748836,0.03177717,0.02487898,0,2,0,0,0,9,1,62,160,17.77778,2.580645,739598,1000550096,"0"
1305,288230376151728128,12.368958,3,2048,443,54427,6,443,44597,89911,26578,125637058,0,1400,0.5959594,12.72548,0.85959,0.000277349,0.004337313,3605.558,2148.766,-0.336887,-0.999577,18995,1,18357,123,123,0,192,16452,1710563261,44588,27298,0,44597,125380370,131,4697,65535,3932416,65535,3932416,222,760,223,795,584,44597,4443,318,1412,256,2866693358,3356665150,0.001,2866693.494,1683192846,0.000190016,5.95e-06,0.02451599,0.000293438,0.001483685,0.002776576,0.009294407,2,0,0,0,1,9,3,11,11,3.666667,976201,2003245,"0"
1001,288230376151728128,0,3,2048,57613,53,17,53,1,1,45,61,45,45,45,0,0,0,0,0,0,0,-0.1509434,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.009089984,0.009089984,0.009089984,0.009089984,0,0.009089984,0,0,0,0,0,10,1,20,20,2,1,3153031,4324656368,"0"
893,288230376151728128,1.13195,3,2048,443,58497,6,443,878,1917,7975,2638619,0,1400,9.083143,89.84104,0.755858,0.001289237,0.02552725,775.6526,7045.364,-0.3717352,-0.9939734,18999,1,35422,123,123,0,192,16452,3310053067,873,8938,0,878,2371191,49,3297,65535,2697616,65535,2697984,196,594,197,795,712,878,3356,318,1412,256,2865067339,1642660266,0.1,286506738.2,1399406795,0.000163008,1e-05,0.003808,0.000297894,0.000280144,0.008826767,0.05790569,2,0,0,0,1,10,105,115,115,1.095238,185519,1390252,"0"
