"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpSeqFaultCnt","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN","isLab"
103,576460752303456256,153.275728,3,34525,5353,5353,17,5353,5,0,1575,0,172,887,315,217.7198,146.2709,30.65514,43.86131,0.03262095,10.2756,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,2,1,1,0.5,1,76,23427,1,"0"
43,288230376151728128,0,3,2048,67,68,17,67,1,0,300,0,300,300,300,0,0,0,0,0,0,-1,1,1,65535,0,128,128,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,13,872,1,"0"
61,288230376151728128,7.004503,3,2048,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.002032,1.751126,1.256619,0.5710613,98.22253,1,1,1,6198,24554,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,1311206,1704964414,1,"0"
5,68,3509.917596,2,2054,0,0,0,0,44,33,2024,924,46,46,46,0,90.11015,79.77086,23.87754,0.01253591,0.5766518,0.1428571,0.3731343,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0"
17,576460752303456256,0,3,34525,5353,5353,17,5353,1,0,362,0,362,362,362,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,2,1,1,0.5,1,28,4568,1,"0"
19,288230376151728128,0,3,2048,59054,53,17,53,1,1,69,58,69,69,69,0,0,0,0,0,0,0,0.08661418,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004951,0.004951,0.004951,0.004951,0,0.004951,0,0,0,0,0,2,1,10,10,5,1,460649,587302394,1,"0"
138,288230376151728128,0.044403,3,2048,54104,7000,6,7000,6,7,41,1708,0,41,6.833333,12.68929,0.029551,0.0074005,0.009017387,135.126,923.361,-0.07692308,-0.9531161,2579,0,0,64,64,0,0,64,2802823643,5,41,0,5,1708,0,41,65535,120018.6,65535,131712,1,2,2,283,0,6,22,286,1460,64,3225994039,327337865,1,3225994039,1.84467e+19,0.000381,5.1e-05,0.022975,0.006687857,0.009097629,0.006279,0,0,0,0,0,2,1,2,2,1,1,221,25436,1,"0"
79,288230376151728128,0,3,2048,138,138,17,138,1,0,198,0,198,198,198,0,0,0,0,0,0,1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,3,2,2,1,0.3333333,0.5,3731578,4828532583,1,"0"
15,576460752303456256,997.10484,3,34525,61124,55617,6,61124,16,18,3688,4880,0,1428,230.5,453.6603,396.7441,62.31905,103.9392,0.01604646,3.698708,-0.05882353,-0.1391223,2611,65535,0,64,64,0,2,0,3824942137,15,3688,0,15,4880,0,3540,65535,91402.45,0,131264,3,2,4,542,32,15,49,286,1440,64,2862721387,3638539393,0.001,2862721.523,1688926047,0.009342016,0.003944,396.744,55.39744,100.232,55.39875,100.232,70,0,0,0,2,2,3,3,1.5,1,93,12133,1,"0"
50,288230376151728128,0,3,2048,53,51041,17,53,1,1,58,69,58,58,58,0,0,0,0,0,0,0,-0.08661418,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.006758976,0,0,0,0,0,1,3,3,3,3,1,30,1378,1,"0"
