%dir	flowInd	flowStat	timeFirst	timeLast	duration	numHdrDesc	numHdrs	hdrDesc	srcMac	dstMac	ethType	ethVlanID	srcIP	srcIPCC	srcIPOrg	srcPort	dstIP	dstIPCC	dstIPOrg	dstPort	l4Proto	macStat	macPairs	srcMac_dstMac_numP	srcMacLbl_dstMacLbl	dstPortClassN	dstPortClass	numPktsSnt	numPktsRcvd	numBytesSnt	numBytesRcvd	minPktSz	maxPktSz	avePktSize	stdPktSize	minIAT	maxIAT	aveIAT	stdIAT	pktps	bytps	pktAsm	bytAsm	tcpFStat	ipMindIPID	ipMaxdIPID	ipMinTTL	ipMaxTTL	ipTTLChg	ipToS	ipFlags	ipOptCnt	ipOptCpCl_Num	ip6OptCntHH_D	ip6OptHH_D	tcpISeqN	tcpPSeqCnt	tcpSeqSntBytes	tcpSeqFaultCnt	tcpPAckCnt	tcpFlwLssAckRcvdBytes	tcpAckFaultCnt	tcpBFlgtMx	tcpInitWinSz	tcpAveWinSz	tcpMinWinSz	tcpMaxWinSz	tcpWinSzDwnCnt	tcpWinSzUpCnt	tcpWinSzChgDirCnt	tcpWinSzThRt	tcpFlags	tcpAnomaly	tcpOptPktCnt	tcpOptCnt	tcpOptions	tcpMSS	tcpWS	tcpMPTBF	tcpMPF	tcpMPAID	tcpMPDSSF	tcpTmS	tcpTmER	tcpEcI	tcpUtm	tcpBtm	tcpSSASAATrip	tcpRTTAckTripMin	tcpRTTAckTripMax	tcpRTTAckTripAve	tcpRTTAckTripJitAve	tcpRTTSseqAA	tcpRTTAckJitAve	tcpStatesAFlags	icmpStat	icmpTCcnt	icmpBFTypH_TypL_Code	icmpTmGtw	icmpEchoSuccRatio	icmpPFindex	connSip	connDip	connSipDip	connSipDprt	connF
A	19	0x0400000000004000	1689962254.600249	1689962259.594002	4.993753	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55755	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_14	-_SagemcomB,FR	443	https	14	21	1747	18702	0	1150	124.7857	284.463	0	4.084359	0.3566967	1.01276	2.803503	349.8371	-0.2	-0.8291359	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1904734843	13	1747	0	13	18702	0	1230	65535	129397	65535	132480	5	4	6	0	0x011b	0x0000	14	46	0x0000011e	1460	64	0x0000	0x00	0	0x00	1374916562	2933314455	0.001	1374916.627305	1688587342.966697	0.022718	0.006758	4.084095	0.2085188	0.8446937	0.022846	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	7	15	2.5
B	19	0x0400000000004001	1689962254.622967	1689962259.619125	4.996158	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55755	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_21	SagemcomB,FR_-	443	https	21	14	18702	1747	0	1440	890.5714	601.95	0	4.084883	0.2379123	0.8559157	4.203229	3743.276	0.2	0.8291359	0x0213	41288	24230	57	57	0	0x00	0x2044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	1431255640	21	18702	0	21	1747	0	10120	65160	64513.3	64512	65160	2	0	0	0	0x031b	0x0000	21	65	0x0000011e	1452	512	0x0000	0x00	0	0x00	2933315390	1374916562	0.001	2933315.529325	1687028944.089800	0.000128	8.9e-05	0.807979	0.05876157	0.2002451	0.2672803	0.8681045	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	6	14	14
A	20	0x0400000000004000	1689962259.596994	1689962264.596079	4.999085	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55756	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_19	-_SagemcomB,FR	443	https	19	21	1747	20056	0	1150	91.94736	252.0652	0	3.993802	0.2631097	0.8759565	3.800696	349.464	-0.05	-0.8397468	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2374670260	18	1747	0	18	20056	0	1230	65535	130538.8	65535	132480	8	7	9	0	0x011b	0x0000	19	61	0x0000011e	1460	64	0x0000	0x00	0	0x00	3986095837	3534810161	0.001	3986096.026329	1685976168.569750	0.023036	0.000126	3.993605	0.2009471	0.8266482	0.023196	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	7	15	2.5
B	20	0x0400000000004001	1689962259.620030	1689962264.618263	4.998233	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55756	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_21	SagemcomB,FR_-	443	https	21	19	20056	1747	0	1440	955.0476	587.4551	0	3.993786	0.2380111	0.8401232	4.201485	4012.618	0.05	0.8397468	0x0213	62820	2698	57	57	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	3951726058	21	20056	0	21	1747	0	7200	65160	64514.54	64512	65160	2	0	0	0	0x031b	0x0000	21	65	0x0000011e	1452	512	0x0000	0x00	0	0x00	3534811094	3986095837	0.001	3534811.261895	1686427453.356369	0.00016	5e-05	0.893452	0.04785474	0.1940025	0.2488018	0.849108	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	6	14	14
A	21	0x0400000000004000	1689962264.599121	1689962269.596916	4.997795	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55757	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_21	-_SagemcomB,FR	443	https	21	22	1747	22037	0	1150	83.19048	241.2025	0	4.022065	0.2379902	0.8443469	4.201853	349.5541	-0.02325581	-0.8530945	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	563936293	20	1747	0	20	22037	0	1230	65535	130230.5	65535	132480	9	6	10	0	0x011b	0x0000	21	67	0x0000011e	1460	64	0x0000	0x00	0	0x00	2586835512	2933324452	0.001	2586835.634868	1687375433.962048	0.020795	1.7e-05	4.021864	0.19074	0.8159229	0.020946	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	16	2.666667
B	21	0x0400000000004001	1689962264.619916	1689962269.621131	5.001215	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55757	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_22	SagemcomB,FR_-	443	https	22	21	22037	1747	0	1440	1001.682	554.0491	0	4.021914	0.227328	0.8284426	4.398931	4406.329	0.02325581	0.8530945	0x0213	15447	50070	57	57	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	560779321	22	22037	0	22	1747	0	4320	65160	64512.91	64512	65160	2	0	0	0	0x031b	0x0000	22	68	0x0000011e	1452	512	0x0000	0x00	0	0x00	2933325393	2586835512	0.001	2933325.532325	1687028944.088806	0.000151	2.6e-05	0.877199	0.042565	0.1821429	0.233305	0.8360061	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	15	15
A	23	0x0400000000004000	1689962269.600337	1689962274.596000	4.995663	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55758	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_16	-_SagemcomB,FR	443	https	16	23	1747	23452	0	1150	109.1875	271.4275	0	4.035729	0.3122289	0.9498146	3.202778	349.7033	-0.1794872	-0.8613437	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2606766012	15	1747	0	15	23452	0	1230	65535	129806	65535	132480	6	5	7	0	0x011b	0x0000	16	52	0x0000011e	1460	64	0x0000	0x00	0	0x00	2148595279	329844788	0.001	2148595.381053	1687813679.214948	0.020796	0.001363	4.035468	0.1875082	0.801562	0.021016	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	7	15	2.5
B	23	0x0400000000004001	1689962269.621133	1689962274.620229	4.999096	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55758	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_23	SagemcomB,FR_-	443	https	23	16	23452	1747	0	1440	1019.652	533.4125	0	4.036371	0.217352	0.81452	4.600832	4691.248	0.1794872	0.8613437	0x0213	21951	43565	57	57	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	406043551	23	23452	0	23	1747	0	9665	65160	64513.24	64512	65160	2	0	0	0	0x031b	0x0000	23	71	0x0000011e	1452	512	0x0000	0x00	0	0x00	329845728	2148595279	0.001	329845.743667	1689632428.876563	0.00022	4e-05	0.857591	0.05461456	0.2007532	0.2421228	0.8263193	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	6	14	14
A	25	0x0400000000004000	1689962274.599199	1689962279.596964	4.997765	1	3	eth:ipv4:tcp	5c:e9:1e:6a:fd:c6	b8:d9:4d:f1:84:60	0x0800		192.168.2.168	07	"Private network"	55759	52.223.241.20	us	"Amazon Technologies Inc"	443	6	0x00	1	5c:e9:1e:6a:fd:c6_b8:d9:4d:f1:84:60_14	-_SagemcomB,FR	443	https	14	20	1747	17485	0	1150	124.7857	284.463	0	4.054142	0.3569832	1.006441	2.801252	349.5562	-0.1764706	-0.8183236	0x0a33	0	0	64	64	0	0x00	0x0040	0	0x00_0x00000000	0_0	0x00000000_0x00000000	2897100894	13	1747	0	13	17485	0	1230	65535	129561.6	65535	132480	5	4	6	0	0x011b	0x0000	14	46	0x0000011e	1460	64	0x0000	0x00	0	0x00	2811960121	4103067368	0.001	2811960.254561	1687150319.342404	0.024266	0.006732	4.053962	0.2166876	0.8568827	0.024443	0	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	6	1	8	16	2.666667
B	25	0x0400000000004001	1689962274.623465	1689962279.620384	4.996919	1	3	eth:ipv4:tcp	b8:d9:4d:f1:84:60	5c:e9:1e:6a:fd:c6	0x0800		52.223.241.20	us	"Amazon Technologies Inc"	443	192.168.2.168	07	"Private network"	55759	6	0x00	1	b8:d9:4d:f1:84:60_5c:e9:1e:6a:fd:c6_20	SagemcomB,FR_-	443	https	20	14	17485	1747	0	1440	874.25	592.4646	0	4.054326	0.249846	0.8689216	4.002466	3499.156	0.1764706	0.8183236	0x0213	22393	43126	57	57	0	0x00	0x0044	0	0x00_0x00000000	0_0	0x00000000_0x00000000	863378939	20	17485	0	20	1747	0	10153	65160	64513.86	64512	65160	2	0	0	0	0x031b	0x0000	20	62	0x0000011e	1452	512	0x0000	0x00	0	0x00	4103068300	2811960121	0.001	4103068.494885	1685859211.125499	0.000177	5e-06	0.841274	0.06110157	0.2085203	0.2777891	0.8818892	0x00	0x00	0	0x00000000_0x00000000_0x0000	0x00000000	0	0	1	6	7	15	15
