"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
602,288230376151728128,0,3,2048,53,51983,17,53,1,1,37,37,37,37,37,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.01946,0,0,0,0,0,1,5,17,17,17,1,81,7552,"0"
98,288230376151728128,0.01855,3,2048,53,52940,17,53,2,2,192,82,96,96,96,0,0.01855,0.009275,0.006558415,107.8167,10350.4,0,0.4014598,1,6,6,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.009885984,0.006558399,0,0,0,0,1,5,11,11,11,1,12,987,"0"
107,288230376151728128,0,3,2048,58033,53,17,53,1,1,35,35,35,35,35,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01948899,0.01948899,0.01948899,0.01948899,0,0.01948899,0,0,0,0,0,5,1,10,10,2,1,5846,658276,"0"
243,288230376151728128,0.085806,3,2048,62318,853,6,853,11,10,605,8074,0,517,55,123.4723,0.022074,0.007800545,0.007478628,128.1962,7050.789,0.04761905,-0.860583,2579,0,0,64,64,0,0,64,1129948074,8,581,8,7572,0,517,65535,62096.44,0,131328,3,4,4,287,0,9,31,286,1460,64,405742884,3026818355,1,405742884,1283290617,0.01811597,0.00068,0.02193802,0.013345,0.007582648,0.01836397,0,82,0,0,0,8,1,2,2,0.25,1,11252,1296773,"0"
64,288230376151728128,0,3,2048,55078,3128,6,3128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,3694475739,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000202048,0.000202048,0.000202048,0.000202048,0,0.000202048,0,3,0,0,0,1,3,2,2,2,1,2,0,"0"
270,288230376151728128,0,3,2048,54204,53,17,53,1,1,61,61,61,61,61,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.021361,0.021361,0.021361,0.021361,0,0.021361,0,0,0,0,0,3,1,14,14,4.666667,1,11616,1303568,"0"
656,576460752303456256,0.043154,3,34525,5353,5353,17,5353,2,0,718,0,347,371,359,8.485281,0.043154,0.021577,0.01525724,46.34565,16638.09,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9,1330,"0"
217,288230376151728128,119.271678,3,2048,0,0,1,0,2,0,56,0,28,28,28,0,119.2717,59.63584,42.1689,0.01676844,0.4695163,-1,1,1,11236,11236,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,1,2,217,1,1,1,1,1,1,12703,1411784,"0"
464,288230376151728128,30.728321,3,2048,443,61732,6,443,29,22,26782,4040,0,1368,923.5172,583.2499,29.74416,1.059597,5.319902,0.9437548,871.5738,0.1372549,0.7378496,18963,1,44181,47,47,0,0,68,3089499510,25,28150,28,2641,1,6840,65535,96046.73,0,137216,1,3,2,799,584,28,89,318,1380,2048,1836253413,3922721702,0.001,1836253.5,1687176807,0.000158976,5.4e-05,0.255874,0.0122104,0.04938792,2.129508,7.381163,66,0,0,0,1,8,1,9,9,9,29,26782,"0"
250,288230376151728128,0,3,2048,52254,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,2785226588,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,8.4e-05,8.4e-05,8.4e-05,8.4e-05,0,8.4e-05,0,3,0,0,0,1,2,3,3,3,1,22,0,"0"
103,288230376151728128,0.144594,3,2048,62965,443,6,443,17,15,2296,8567,0,1276,135.0588,300.4003,0.049722,0.008505529,0.01096654,117.5706,15878.94,0.0625,-0.5772807,531,0,0,64,64,0,0,64,3577805964,15,2296,16,8567,0,1655,65535,2960.646,2752,65535,1,0,0,283,0,17,55,286,1460,64,2703446294,1060008978,1,2703446294,1.84467e+19,0.01139802,0.000747968,0.04955802,0.0113282,0.01065827,0.01150202,0,0,0,0,0,9,1,12,20,2.222222,1.666667,5259,589561,"0"
195,288230376151728128,0,3,2048,720,67,17,67,1,0,300,0,300,300,300,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,4,1,6,6,1.5,1,6686,823778,"0"
22,288230376151728128,0,3,2048,794,67,17,67,1,0,300,0,300,300,300,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,4,1,6,6,1.5,1,1208,141255,"0"
275,288230376151728128,0,3,2048,38522,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,3943052830,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000129984,0.000129984,0.000129984,0.000129984,0,0.000129984,0,3,0,0,0,1,2,2,2,2,1,7,706,"0"
224,288230376151728128,0,3,2048,53,55391,17,53,1,1,313,40,313,313,313,0,0,0,0,0,0,0,0.7733711,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.03410101,0,0,0,0,0,1,4,3,3,3,1,12,1258,"0"
35,288230376151728128,0,3,2048,53,51911,17,53,1,1,38,38,38,38,38,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.01855002,0,0,0,0,0,1,3,1,1,1,1,0,4198402,"0"
201,288230376151728128,1.650076,3,2048,443,62304,6,443,15,15,5752,900,0,1368,383.4667,473.0101,1.595383,0.1100051,0.3826022,9.09049,3485.9,0,0.7294047,16915,1,16111,59,59,0,0,16448,3945144663,15,5752,15,900,0,4096,64980,64302.2,64256,64980,2,0,0,795,0,15,50,318,1380,256,2566642489,1824136454,0.001,2566642.611,1686466430,0.000128,4.8e-05,1.579587,0.1160235,0.3910153,0.126913,0.3910482,0,0,0,0,1,7,3,7,7,2.333333,85,86360,"0"
198,288230376151728128,0,3,2048,53,55117,17,53,1,1,119,55,119,119,119,0,0,0,0,0,0,0,0.3678161,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.027284,0,0,0,0,0,1,5,7,7,7,1,70,7229,"0"
282,288230376151728128,0,3,2048,22,44564,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000221,0,67,0,0,0,1,1,1,1,1,1,11104,1245890,"0"
460,288230376151728128,0,3,2048,52733,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,2523555321,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000123968,0.000123968,0.000123968,0.000123968,0,0.000123968,0,3,0,0,0,1,2,6,6,6,1,228,0,"0"
129,288230376151728128,0,3,2048,50360,53,17,53,1,1,60,60,60,60,60,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01971098,0.01971098,0.01971098,0.01971098,0,0.01971098,0,0,0,0,0,7,1,12,12,1.714286,1,5170,658514,"0"
407,288230376151728128,0,3,2048,32550,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,3814517162,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000107008,0.000107008,0.000107008,0.000107008,0,0.000107008,0,3,0,0,0,1,2,7,7,7,1,176,0,"0"
192,288230376151728128,0,3,2048,42431,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,2999320713,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000203008,0.000203008,0.000203008,0.000203008,0,0.000203008,0,3,0,0,0,1,1,2,2,2,1,101,0,"0"
90,288230376151728128,0,3,2048,97,39006,6,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000206976,0,67,0,0,0,2,1,1,1,0.5,1,3095,417390,"0"
99,288230376151728128,0,3,2048,53,57602,17,53,1,1,43,43,43,43,43,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.01773395,0,0,0,0,0,1,5,13,13,13,1,12,987,"0"
641,288230376151728128,0,3,2048,62723,53,17,53,1,1,42,42,42,42,42,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.01994099,0.01994099,0.01994099,0.01994099,0,0.01994099,0,0,0,0,0,4,1,2,2,0.5,1,11118,1244320,"0"
353,288230376151728128,0,3,2048,3113,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,3132359199,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000147968,0.000147968,0.000147968,0.000147968,0,0.000147968,0,3,0,0,0,1,2,4,4,4,1,121,0,"0"
63,288230376151728128,0,3,2048,53,56694,17,53,1,1,42,42,42,42,42,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.01733299,0,0,0,0,0,1,6,5,5,5,1,0,4198402,"0"
406,288230376151728128,0,3,2048,39281,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,2456597087,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,6.5e-05,6.5e-05,6.5e-05,6.5e-05,0,6.5e-05,0,3,0,0,0,1,2,7,7,7,1,175,0,"0"
110,288230376151728128,0,3,2048,22,40553,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000209984,0,67,0,0,0,1,1,1,1,1,1,3096,354630,"0"
283,288230376151728128,0,3,2048,44566,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,929894226,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.00011,0.00011,0.00011,0.00011,0,0.00011,0,3,0,0,0,1,1,2,2,2,1,21,71,"0"
357,288230376151728128,0,3,2048,22,3113,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000206992,0,67,0,0,0,2,1,3,3,1.5,1,3773,404914,"0"
252,288230376151728128,0,3,2048,22,41804,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000139,0,67,0,0,0,2,1,2,2,1,1,3473,382359,"0"
344,288230376151728128,0,3,2048,47064,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,3537855638,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000180992,0.000180992,0.000180992,0.000180992,0,0.000180992,0,3,0,0,0,1,2,4,4,4,1,112,0,"0"
137,288230376151728128,0,3,2048,35778,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,3322930026,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000195,0.000195,0.000195,0.000195,0,0.000195,0,3,0,0,0,1,1,4,4,4,1,47,0,"0"
28,288230376151728128,3.360081,3,2048,62196,443,6,443,304,929,48623,1180681,0,1368,159.9441,397.4862,1.543171,0.0110529,0.08931124,90.47401,14470.78,-0.5068938,-0.9208934,2611,0,0,64,64,0,0,64,676164393,290,49125,303,1180681,0,1950,65535,167353.2,2752,168000,65,108,65,283,192,304,916,286,1460,64,2568136784,4288833833,0.001,2568136.906,1686454786,0.01732704,3.01e-06,0.09590202,0.006621156,0.007355414,0.01745203,0,0,0,0,0,8,1,12,22,2.75,1.833333,1240,203583,"0"
245,288230376151728128,0,3,2048,22,12849,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.00020896,0,67,0,0,0,2,1,6,6,3,1,3461,381365,"0"
110,288230376151728128,66.327408,3,2048,62968,443,6,443,25,28,6371,5736,0,1368,254.84,432.8744,43.96789,2.653096,8.76884,0.3769181,96.05381,-0.05660377,0.052449,2579,0,0,64,64,0,0,64,2956604158,20,6371,22,5684,0,2652,65535,2689.835,0,65535,2,2,2,287,192,23,73,286,1460,64,4057390067,786566510,0.01,40573899.76,1648508274,0.052964,0.000903008,0.1091,0.05093693,0.02039305,0.053096,0,82,0,0,0,7,1,2,6,0.8571429,3,5460,614902,"0"
246,288230376151728128,0,3,2048,38522,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,3884000597,0,0,0,0,0,0,29200,29200,29200,29200,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000214016,0.000214016,0.000214016,0.000214016,0,0.000214016,0,3,0,0,0,1,2,2,2,2,1,18,0,"0"
661,288230376151728128,120.247871,3,2048,443,61771,6,443,27,17,15531,1277,0,1368,575.2222,569.9935,120.1827,4.453625,22.19777,0.2245362,129.1582,0.2272727,0.8480486,2579,33911,52381,60,254,1,96,16452,3130470120,24,15531,26,1253,0,11062,65160,110090.9,0,262016,3,1,1,1823,0,25,77,286,1380,128,1238540683,3219645610,0.004,4954162.967,1684061314,7.6e-05,3.9e-05,0.01431501,0.001954538,0.003962962,9.638986,31.926,82,0,0,0,1,5,1,3,3,3,85,37176,"0"
433,288230376151728128,0,3,2048,2477,22,6,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,254,254,0,0,0,341039344,0,0,0,0,0,0,28400,28400,28400,28400,0,0,0,2,12288,1,1,4,1380,1,0,0,0,0,0,0.000112992,0.000112992,0.000112992,0.000112992,0,0.000112992,0,3,0,0,0,1,2,6,6,6,1,201,0,"0"
78,288230376151728128,0,3,2048,799,67,17,67,1,0,300,0,300,300,300,0,0,0,0,0,0,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,5,1,6,8,1.6,1.333333,3994,462247,"0"
36,288230376151728128,1.48887,3,2048,443,62957,6,443,196,91,250557,4318,0,1368,1278.352,316.4209,1.371763,0.007596276,0.09746908,131.6435,168286.7,0.3658537,0.9661167,18963,1,57584,54,54,0,0,16448,853794384,196,250557,196,4318,0,21888,65160,64128,62848,65160,3,1,1,795,0,196,593,318,1380,128,1121482527,1487610991,0.001,1121482.58,1687959445,0.000291008,1.89e-05,1.351581,0.01571849,0.1408364,0.01831385,0.1409002,0,0,0,0,1,5,1,5,5,5,207,250683,"0"
