"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","ipOptCnt","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isLab"
132,288230376151728128,0,3,2048,67,68,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0.009843968,0,0,0,0,0,1,1,1,1,1,1,3,900,"1"
85,288230376151728128,6.951713,3,2048,65218,7000,6,7000,7,0,0,0,0,0,0,0,1.998835,0.9931018,0.4610445,1.006946,0,1,0,19,0,0,63,63,0,96,64,0,4036441769,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,2008749073,0,0.001,2008749.168,1688465635,0,65535,0,0,0,0,0,3,0,0,0,1,8,1,1,1,1,8,0,"1"
33,576460752303456256,7.006623,3,34525,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.002123,1.751656,1.256653,0.5708885,98.19281,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,15,2713,"1"
16,288230376151728128,73.789436,3,2048,443,49212,6,443,5,0,120,0,24,24,24,0,39.42304,14.75789,12.29448,0.06776038,1.626249,-1,1,19,1,1,58,58,0,0,64,0,203749957,1,0,5,0,0,0,251,251,251,251,0,0,0,281,0,5,15,258,0,0,2478394795,1386322690,0.001,2478394.913,1687995877,0,65535,0,0,0,0,0,131,0,0,0,1,9,1,31,31,31,48,1008,"1"
41,288230376151728128,0,3,2048,49433,21,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,653812845,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4096,1,1,4,1380,1,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,4,2,2,2,1,2,0,"1"
9,288230376151728128,3539.95356,3,2048,0,0,2,0,60,0,0,0,0,0,0,0,60.00959,58.99923,6.140062,0.01694937,0,1,0,1,3445,7493,1,1,0,192,4,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,5,1,1,1,1,60,0,"1"
139,576460752303456256,0.039082,3,34525,5353,5353,17,5353,2,0,665,0,318,347,332.5,10.25305,0.039082,0.019541,0.01381757,51.17446,17015.51,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1404,272639,"1"
120,288230376151728128,0,3,2048,12531,8888,17,8888,1,0,24,0,24,24,24,0,0,0,0,0,0,1,1,1,65535,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,8,24,"1"
20,288230376151728128,0,3,2048,39446,9190,6,9190,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,46,46,0,96,64,0,915621966,0,0,0,0,0,0,1024,1024,1024,1024,0,0,0,2,4096,1,1,4,1380,1,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,1,1,1,1,2,0,"1"
57,288230376151728128,0,3,2048,443,49374,6,443,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,17,65535,0,108,108,0,0,64,0,1012342277,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,195,0,0,0,1,19,1,30,30,30,13,0,"1"
34,288230376151728128,0,3,2048,22582,27015,17,27015,1,0,25,0,25,25,25,0,0,0,0,0,0,1,1,1,65535,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,16,2738,"1"
92,288230376151728128,7.004979,3,2048,62533,7000,6,7000,7,0,0,0,0,0,0,0,1.997477,1.000711,0.4618829,0.9992892,0,1,0,19,0,0,63,63,0,96,64,0,489756946,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4097,7,49,286,1386,0,4030258542,0,0.001,4030258.733,1686444135,0,65535,0,0,0,0,0,3,0,0,0,1,5,1,1,1,1,7,0,"1"
62,68,3510.203952,2,2054,0,0,0,0,40,0,1840,0,46,46,46,0,90.27757,87.75511,11.20707,0.01139535,0.5241861,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1"
7,288230376151728128,0,3,2048,443,50212,6,443,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,531,65535,0,57,57,0,0,64,0,2896196092,1,0,1,0,0,0,65160,65160,65160,65160,0,0,0,594,4096,1,5,286,1380,2048,1806033081,3925682527,0.01,18060330.41,1672611312,0,65535,0,0,0,0,0,3,0,0,0,1,2,1,2,2,2,2,0,"1"
4,288230376151728128,28.672225,3,2048,443,49254,6,443,2,0,48,0,24,24,24,0,28.67223,14.33611,10.13716,0.06975392,1.674094,-1,1,19,1,1,55,55,0,0,64,0,3303713020,1,0,2,0,0,0,501,501,501,501,0,0,0,281,4096,2,6,258,0,0,3416398015,4192848634,0.1,341639806.6,1348914318,0,65535,0,0,0,0,0,131,0,0,0,1,16,1,26,26,26,2,48,"1"
82,288230376151728128,0,3,2048,43860,6588,6,6588,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,3450836915,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,22,22,22,1,32,0,"1"
46,288230376151728128,0,3,2048,39253,21,6,21,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,1764097590,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4096,1,1,4,1380,1,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,1,1,1,1,10,688,"1"
82,288230376151728128,7.006978,3,2048,57354,7000,6,7000,7,0,0,0,0,0,0,0,2.00246,1.000997,0.4661471,0.9990041,0,1,0,19,0,0,63,63,0,96,64,0,577634480,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,4097,7,49,286,1386,0,1487586483,0,0.001,1487586.554,1688986780,0,65535,0,0,0,0,0,3,0,0,0,1,9,3,3,3,1,35,0,"1"
7,288230376151728128,97.044367,3,2048,443,49321,6,443,8,0,186,0,0,31,23.25,11.10364,49.15087,12.13055,14.9394,0.08243652,1.916649,-1,1,19,1,1,44,44,0,0,64,0,443935640,2,31,8,0,0,0,63,63,63,63,0,0,0,281,0,8,24,258,0,0,2404038297,3998327589,0.001,2404038.411,1688150157,0,65535,0,0,0,0,0,3,0,0,0,1,5,1,4,4,4,8,186,"1"
149,288230376151728128,0.077342,3,2048,5353,5353,17,5353,2,0,800,0,371,429,400,20.5061,0.077342,0.038671,0.02734453,25.85917,10343.67,1,1,1,58845,0,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,813,154015,"1"
83,288230376151728128,6.966821,3,2048,49591,7000,6,7000,7,0,0,0,0,0,0,0,1.947938,0.9952601,0.4535822,1.004762,0,1,0,19,0,0,63,63,0,96,64,0,4228423996,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,1444788948,0,0.001,1444789.017,1689029582,0,65535,0,0,0,0,0,3,0,0,0,1,9,1,1,1,1,21,0,"1"
84,288230376151728128,7.006324,3,2048,57360,7000,6,7000,7,0,0,0,0,0,0,0,1.91329,1.000903,0.4385177,0.9990974,0,1,0,19,0,0,63,63,0,96,64,0,528355670,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,2734607468,0,0.001,2734607.598,1687739771,0,65535,0,0,0,0,0,3,0,0,0,1,8,2,2,2,1,35,0,"1"
56,288230376151728128,3.815019,3,2048,443,49234,6,443,7,0,120,0,0,24,17.14286,8.9057,1.984181,0.5450028,0.6187692,1.834853,31.45463,-1,1,19,1,1,237,237,0,0,16384,0,132269131,2,24,7,0,0,0,134,134,134,134,0,0,0,281,0,7,21,258,0,0,2193332905,2373971094,0.001,2193333.009,1688280989,0,65535,0,0,0,0,0,3,0,0,0,1,8,4,31,31,7.75,42,720,"1"
63,288230376151728128,32.566698,3,2048,443,49243,6,443,10,0,192,0,0,24,19.2,8.016638,16.42404,3.25667,4.751915,0.3070621,5.895594,-1,1,19,1,1,241,241,0,2,64,0,435846643,2,24,10,0,0,0,480,480,480,480,0,0,0,281,0,10,30,258,0,0,2230239253,1467827738,0.001,2230239.359,1688323979,0,65535,0,0,0,0,0,3,0,0,0,1,3,1,2,2,2,10,192,"1"
41,288230376151728128,0,3,2048,8080,1434,17,8080,1,0,99,0,99,99,99,0,0,0,0,0,0,-1,1,1,65535,0,50,50,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,2,1,1,1,1,1,99,"1"
124,576460752303456256,7.006062,3,34525,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.002111,1.751516,1.25665,0.5709341,98.20067,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,6,1732,"1"
91,288230376151728128,0,3,2048,48860,6588,6,6588,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,762099446,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,3,13,13,13,1,32,0,"1"
3,576460752303456256,6.001235,3,34525,5353,5353,17,5353,3,0,516,0,172,172,172,0,4.000229,2.000412,1.29103,0.4998971,85.9823,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,516,"1"
103,288230376151728128,0.93372,3,2048,50780,6588,6,6588,2,0,0,0,0,0,0,0,0.93372,0.46686,0.3301199,2.14197,0,1,0,19,1,1,54,54,0,0,64,0,2837011078,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,1,2,10,286,1380,0,936385094,0,0.001,936385.1385,1689618330,0,65535,0,0,0,0,0,3,0,0,0,1,3,1,1,1,1,32,0,"1"
70,288230376151728128,15.745706,3,2048,443,49247,6,443,9,0,168,0,0,24,18.66667,8.297421,8.058926,1.749523,2.375381,0.5715844,10.66958,-1,1,19,1,1,48,48,0,2,64,0,95745876,2,24,9,0,0,0,504,504,504,504,0,0,0,281,0,9,27,258,0,0,1426808027,402489414,0.001,1426808.095,1689127711,0,65535,0,0,0,0,0,3,0,0,0,1,5,2,7,7,3.5,27,504,"1"
74,288230376151728128,59.74336,3,2048,443,49246,6,443,10,0,0,0,0,0,0,0,29.69473,5.974336,8.587601,0.1673826,0,-1,0,19,1,1,120,120,0,0,0,0,1725004740,1,0,10,0,0,0,265,265,265,265,0,0,0,273,0,10,30,258,0,0,3326146855,2635283350,0.001,3326147.013,1687148232,0,65535,0,0,0,0,0,131,0,0,0,1,7,6,22,22,3.666667,154,0,"1"
88,288230376151728128,121.244844,3,2048,5353,5353,17,5353,14,0,9561,0,70,1448,682.9286,457.4258,68.12005,8.660346,17.33309,0.1154688,78.85696,1,1,1,16579,57575,255,255,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,7,1,1,1,0.1428571,1,2687,492444,"1"
57,288230376151728128,0,3,2048,61000,25565,6,25565,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,228716423,0,0,0,0,0,0,1200,1200,1200,1200,0,0,0,2,4096,1,1,4,536,1,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,2,1,1,1,1,7,0,"1"
17,288230376151728128,0,3,2048,68,67,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01649197,0.01649197,0.01649197,0.01649197,0,0.01649197,0,0,0,0,0,2,1,2,2,1,1,3651,708224,"1"
37,288230376151728128,14.531756,3,2048,443,49314,6,443,9,0,168,0,0,24,18.66667,8.297421,7.439233,1.61464,2.203963,0.6193333,11.56089,-1,1,19,1,1,57,57,0,0,64,0,3402070052,2,24,9,0,0,0,501,501,501,501,0,0,0,281,0,9,27,258,0,0,3064929447,1758567105,0.001,3064929.593,1687489218,0,65535,0,0,0,0,0,3,0,0,0,1,13,1,20,20,20,18,336,"1"
48,288230376151728128,0,3,2048,68,67,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004958016,0.004958016,0.004958016,0.004958016,0,0.004958016,0,0,0,0,0,3,1,2,2,0.6666667,1,11744,2270603,"1"
96,288230376151728128,7.062637,3,2048,49394,7000,6,7000,7,0,0,0,0,0,0,0,2.04611,1.008948,0.4758756,0.9911312,0,1,0,19,0,0,63,63,0,96,64,0,334537430,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,1,7,49,286,1386,0,3417615933,0,0.01,34176158.57,1656298279,0,65535,0,0,0,0,0,3,0,0,0,1,3,1,1,1,1,21,0,"1"
50,288230376151728128,0,3,2048,68,67,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007151008,0.007151008,0.007151008,0.007151008,0,0.007151008,0,0,0,0,0,2,1,2,2,1,1,15249,2937648,"1"
89,288230376151728128,0,3,2048,59010,6588,6,6588,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,254,254,0,0,0,0,1258264992,0,0,0,0,0,0,64240,64240,64240,64240,0,0,0,2,4096,1,1,4,1380,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,3,15,15,15,1,32,0,"1"
131,288230376151728128,0,3,2048,137,137,17,137,1,0,68,0,68,68,68,0,0,0,0,0,0,1,1,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,1,0.5,1,1938,378951,"1"
135,288230376151728128,0,3,2048,67,68,17,67,1,1,300,300,300,300,300,0,0,0,0,0,0,0,0,1,65535,0,63,63,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0.01147699,0,0,0,0,0,1,1,1,1,1,1,2,600,"1"
119,288230376151728128,0,3,2048,3832,2323,6,2323,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,65535,0,43,43,0,0,0,0,2114573056,0,0,0,0,0,0,54529,54529,54529,54529,0,0,0,2,4096,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,3,0,0,0,1,3,1,1,1,1,3,185,"1"
