"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
11,288230376151728128,0.018171,3,2048,443,62948,6,443,6,5,63,63,0,39,10.5,13.00207,0.018168,0.0030285,0.005888212,330.1965,3467.063,0.09090909,0,19,1,1,54,54,0,0,16448,161401051,6,63,6,63,0,0,501,501,501,501,0,0,0,1309,0,6,18,258,0,0,1121265576,511247509,1,1121265576,567815134.2,0,0.000113,0.002125,0.0008656,0.000653062,0.008887433,0.007122273,67,0,0,0,1,4,1,5,5,5,6,63,"0"
12,288230376151728128,0.001943,3,2048,62950,443,6,443,5,5,63,63,0,39,12.6,13.43743,0.000879,0.0003886,0.000271442,2573.34,32424.09,0,0,2067,0,0,64,64,0,0,64,2507370213,5,63,5,0,0,63,2047,2047.657,2047,2048,0,1,1,281,0,5,15,258,0,0,172090542,1121268165,1,172090542,1516990170,0,0.01507302,0.01507398,0.006029401,0.0064746,0,0,3,0,0,0,4,1,2,6,1.5,3,103,8442,"0"
12,288230376151728128,0.017201,3,2048,443,62950,6,443,5,5,63,63,0,39,12.6,13.44673,0.017198,0.0034402,0.005969699,290.6808,3662.578,0,0,19,1,1,54,54,0,0,64,934501075,5,63,5,39,0,0,501,501,501,501,0,0,0,1309,0,5,15,258,0,0,1121268184,172090541,1,1121268184,567812528.4,0,0.000182016,0.002124992,0.000925414,0.000626269,0.006954816,0.006504818,67,0,0,0,1,4,1,5,5,5,11,126,"0"
15,288230376151728128,0.032439,3,2048,62944,443,6,443,3,3,24,24,0,24,8,8.326664,0.03167303,0.01081301,0.01204557,92.48127,739.8502,0,0,19,0,0,64,64,0,0,64,1614954546,2,24,2,0,0,0,65,45.5,0,65,1,0,0,285,12288,2,6,258,0,0,838801075,153956212,1,838801075,850279663.3,0,0.03145197,0.03145299,0.03145265,3.57e-07,0,0,19,0,0,0,5,1,2,6,1.2,3,191,18262,"0"
15,288230376151728128,1e-06,3,2048,443,62944,6,443,3,3,24,24,0,24,8,8.326664,1e-06,3.33e-07,3.47e-07,3e+06,2.4e+07,0,0,19,1,1,51,51,0,0,16448,4151415655,3,24,3,0,0,24,504,504,504,504,0,0,0,1052,8192,3,9,258,0,0,154013548,838801075,0.01,1540135.446,1687540604,0,0.00022,0.00022,7.33e-05,8.47e-05,0.03152598,8.47e-05,67,0,0,0,1,5,1,5,5,5,14,120,"0"
21,288230376151728128,9.2e-05,3,2048,62931,443,6,443,2,2,0,24,0,0,0,0,9.2e-05,4.6e-05,3.25e-05,21739.13,0,0,-1,17,0,0,64,64,0,0,64,373855258,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,83,0,0,0,5,1,2,6,1.2,3,285,28680,"0"
21,288230376151728128,2e-06,3,2048,443,62931,6,443,2,2,24,0,0,24,12,8.485281,2e-06,1e-06,7.07e-07,1e+06,1.2e+07,0,1,19,1,1,52,52,0,0,64,58601179,2,24,2,0,0,0,501,501,501,501,0,0,0,281,12288,2,6,258,0,0,3711412653,3290163646,0.01,37114125.7,1651966641,0,0.000179968,0.000179968,0.000179968,0,0.000179968,0,3,0,0,0,1,5,1,5,5,5,2,24,"0"
22,288230376151728128,8.5e-05,3,2048,62930,443,6,443,2,2,0,24,0,0,0,0,8.5e-05,4.25e-05,3.01e-05,23529.41,0,0,-1,17,0,0,64,64,0,0,64,1263100300,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,65535,0,0,0,0,0,83,0,0,0,5,1,2,6,1.2,3,292,29413,"0"
22,288230376151728128,1e-06,3,2048,443,62930,6,443,2,2,24,0,0,24,12,8.485281,1e-06,5e-07,3.54e-07,2e+06,2.4e+07,0,1,19,1,1,51,51,0,0,64,131112313,2,24,2,0,0,0,505,505,505,505,0,0,0,281,12288,2,6,258,0,0,3711413370,2936625910,0.01,37114132.87,1651966635,0,0.00014,0.00014,0.00014,0,0.00014,0,3,0,0,0,1,5,1,5,5,5,4,48,"0"
24,288230376151728128,0.00256,3,2048,62938,443,6,443,4,3,24,24,0,24,6,8.544003,0.001633,0.00064,0.000561435,1562.5,9375,0.1428571,0,19,0,0,64,64,0,0,64,1439446244,4,24,4,0,0,24,65,65,65,65,0,0,0,281,0,4,12,258,0,0,797404476,3711426619,1,797404476,891676304.1,0,0.02869798,0.02869798,0.009565995,0.01104586,0,0,7,0,0,0,5,1,2,6,1.2,3,339,34323,"0"
