"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
174,576460752303456256,538.645566,3,34525,57843,62258,6,57843,34,38,6701,17926,0,1428,197.0882,344.0187,266.6182,15.84252,51.99689,0.06312128,12.44046,-0.05555556,-0.4558005,18995,65535,0,64,64,0,2,0,3794147663,29,5014,34,15070,1,3544,65535,130848.3,65535,131328,7,6,8,538,104,34,112,318,1440,64,3154013666,4095974885,0.001,3154013.816,1685613059,0.003992,0.003758016,0.913442,0.3175098,0.3035418,16.2098,51.98852,2,0,0,0,1,2,3,1,1,0.3333333,127,14687,"0"
111,288230376151728128,171.056387,3,2048,443,57397,6,443,23,22,2246,3055,0,825,97.65218,185.879,59.02976,7.437234,18.66275,0.1344586,13.13017,0.02222222,-0.1526127,2579,1,27024,123,123,0,96,16448,2457551334,23,2246,23,3055,0,1003,65535,72653.48,65535,72704,0,4,1,795,0,23,71,286,1412,256,264359027,1711017068,0.001,264359.0396,1688471878,0.000109984,4.4e-05,59.0043,12.5631,22.48879,12.60399,22.48881,0,0,0,0,1,8,3,9,9,3,27,4258,"0"
105,288230376151728128,0.140857,3,2048,57394,443,6,443,41,47,942,52350,0,517,22.97561,81.75091,0.022464,0.003435537,0.006289406,291.0753,6687.634,-0.06818182,-0.9646476,2611,0,0,64,64,0,0,64,866838997,37,942,37,52326,0,517,65535,44734.72,0,132480,18,15,19,287,0,38,118,286,1460,64,4075191738,3023019303,1,4075191738,1.84467e+19,0.02151299,1.7e-05,0.022364,0.00585053,0.008565307,0.02168701,0,82,0,0,0,9,1,2,8,0.8888889,4,4335,492915,"0"
178,288230376151728128,0,3,2048,61510,53,17,53,1,1,35,131,35,35,35,0,0,0,0,0,0,0,-0.5783132,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.004762976,0.004762976,0.004762976,0.004762976,0,0.004762976,0,0,0,0,0,4,1,26,26,6.5,1,10222,1194240,"0"
67,288230376151728128,10.205009,3,2048,57389,443,6,443,21,13,1483,1204,0,628,70.61905,119.1485,10.03202,0.4859528,2.057339,2.057813,145.3208,0.2352941,0.1038333,2579,0,0,64,64,0,0,64,431943259,16,1483,16,1180,0,761,65535,31490.31,0,132480,5,1,6,287,0,17,55,286,1460,64,3052604672,3025818470,0.01,30526046.04,1658209394,0.03336,0.000572032,10.03186,0.7952055,2.515146,0.03348499,0,82,0,0,0,12,1,2,20,1.666667,10,2291,277268,"0"
68,288230376151728128,0,3,2048,51325,53,17,53,1,1,60,76,60,60,60,0,0,0,0,0,0,0,-0.1176471,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.006658048,0.006658048,0.006658048,0.006658048,0,0.006658048,0,0,0,0,0,2,1,10,10,5,1,4689,553540,"0"
64,288230376151728128,201.018093,3,2048,57386,443,6,443,41,41,24979,5480,0,1400,609.2439,631.2787,59.0004,4.90288,15.12011,0.2039617,124.2624,0,0.6401721,2611,0,1,64,64,0,0,16452,2614193882,39,24979,40,5480,0,13169,65535,131055.7,65535,131584,7,8,8,283,0,41,127,286,1460,64,3319874938,3168861409,0.001,3319875.096,1685415725,0.02405798,0.000516992,0.181418,0.04976015,0.05893303,0.02412301,0,0,0,0,0,6,1,2,6,1,3,2892,342377,"0"
215,288230376151728128,0,3,2048,53,59898,17,53,1,1,141,30,141,141,141,0,0,0,0,0,0,0,0.6491228,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.007681984,0,0,0,0,0,1,8,9,9,9,1,72,11375,"0"
87,288230376151728128,0,3,2048,51230,123,17,123,1,1,48,48,48,48,48,0,0,0,0,0,0,0,0,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.020568,0.020568,0.020568,0.020568,0,0.020568,0,0,0,0,0,5,1,4,6,1.2,1.5,5654,639289,"0"
188,288230376151728128,0,3,2048,53,51483,17,53,1,1,172,32,172,172,172,0,0,0,0,0,0,0,0.6862745,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.008388992,0,0,0,0,0,1,4,9,9,9,1,78,10888,"0"
237,288230376151728128,0,3,2048,53,63394,17,53,1,1,217,61,217,217,217,0,0,0,0,0,0,0,0.5611511,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.007492,0,0,0,0,0,1,3,17,17,17,1,94,15784,"0"
17,68,5.43411,2,2054,0,0,0,0,714,0,32844,0,46,46,46,0,0.49968,0.007610799,0.0363896,131.3923,6044.044,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
21,288230376151728128,115.936634,3,2048,57942,443,6,443,19,18,1034,4781,0,517,54.42105,107.881,115.7741,6.101928,25.03006,0.1638826,8.918665,0.02702703,-0.644368,2579,0,0,64,64,0,0,64,3723655085,18,1034,18,4781,0,517,65535,4394.628,2880,65535,1,1,1,283,0,19,61,286,1460,64,798716823,2078722316,0.001,798716.8609,1687965100,0.02754299,7.5e-05,115.774,13.63519,36.06963,0.027674,0,2,0,0,0,5,1,2,4,0.8,2,736,82034,"0"
105,288230376151728128,120.161445,3,2048,57706,443,6,443,17,20,1083,7218,0,517,63.70588,133.4594,120.0292,7.06832,27.13556,0.1414763,9.012875,-0.08108108,-0.7390676,2579,0,0,64,64,0,0,64,761794789,16,1083,16,7218,1,517,65535,128460.1,65535,132480,4,4,5,283,8,17,55,286,1460,64,622856787,4069802519,0.004,2491427.266,1686262903,0.003538,9.4e-05,120.029,13.39765,36.60101,0.003688,0,2,0,0,0,4,1,2,6,1.5,3,5583,617327,"0"
55,288230376151728128,0.082734,3,2048,443,57568,6,443,16,16,5888,1632,0,1400,368,512.1442,0.031189,0.005170875,0.00853798,193.3909,71167.84,0,0.5659574,2579,1,51287,122,123,1,192,16452,3796598864,13,10637,16,1633,0,4749,65535,68585.82,65535,68608,0,2,1,795,580,16,50,286,1412,256,2724894421,1760626757,1,2724894421,1.84467e+19,0.000104992,2.5e-05,0.001202016,0.000336622,0.000365908,0.01986993,0.01548755,0,0,0,0,1,5,1,9,9,9,16,5888,"0"
85,288230376151728128,0,3,2048,55824,53,17,53,1,1,42,115,42,42,42,0,0,0,0,0,0,0,-0.4649681,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.005284032,0.005284032,0.005284032,0.005284032,0,0.005284032,0,0,0,0,0,5,1,8,8,1.6,1,4016,459705,"0"
62,576460752303456256,7.004416,3,34525,5353,5353,17,5353,4,0,688,0,172,172,172,0,4.000599,1.751104,1.256194,0.5710683,98.22375,1,1,1,65535,0,255,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,1,1,1,0.5,1,61,1768,"0"
