"flowInd","flowStat","duration","numHdrs","ethType","srcPort","dstPort","l4Proto","dstPortClassN","numPktsSnt","numPktsRcvd","numBytesSnt","numBytesRcvd","minPktSz","maxPktSz","avePktSize","stdPktSize","maxIAT","aveIAT","stdIAT","pktps","bytps","pktAsm","bytAsm","tcpFStat","ipMindIPID","ipMaxdIPID","ipMinTTL","ipMaxTTL","ipTTLChg","ipToS","ipFlags","tcpISeqN","tcpPSeqCnt","tcpSeqSntBytes","tcpPAckCnt","tcpFlwLssAckRcvdBytes","tcpAckFaultCnt","tcpBFlgtMx","tcpInitWinSz","tcpAveWinSz","tcpMinWinSz","tcpMaxWinSz","tcpWinSzDwnCnt","tcpWinSzUpCnt","tcpWinSzChgDirCnt","tcpFlags","tcpAnomaly","tcpOptPktCnt","tcpOptCnt","tcpOptions","tcpMSS","tcpWS","tcpTmS","tcpTmER","tcpEcI","tcpUtm","tcpBtm","tcpSSASAATrip","tcpRTTAckTripMin","tcpRTTAckTripMax","tcpRTTAckTripAve","tcpRTTAckTripJitAve","tcpRTTSseqAA","tcpRTTAckJitAve","tcpStatesAFlags","icmpStat","icmpTCcnt","icmpPFindex","connSip","connDip","connSipDip","connSipDprt","connF","connG","connNumPCnt","connNumBCnt","isVPN"
12,288230376151728128,1.433546,3,2048,137,137,17,137,3,0,150,0,50,50,50,0,0.716812,0.4778487,0.2486835,2.092713,104.6356,1,1,1,1,1,128,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,2,2,1,1,0.5,1,12,444,"0"
13,288230376151728128,1.433405,3,2048,137,137,17,137,5,0,250,0,50,50,50,0,0.716565,0.286681,0.2813466,3.488198,174.4099,1,1,1,24474,33556,64,64,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,5,1,1,1,0.2,1,723,79744,"0"
32,288230376151728128,66.096005,3,2048,443,57377,6,443,17,15,9134,1006,0,1428,537.2941,608.5121,66.02515,3.888,15.04113,0.2572016,138.1929,0.0625,0.8015779,2579,1,39955,246,246,0,0,16448,3545419302,17,9134,17,1006,0,5712,65535,68031.86,65535,68096,0,2,1,795,0,17,53,286,1440,512,1725278400,2394616899,0.004,6901113.928,1681833985,0.000246016,5.5e-05,66.00471,8.80176,21.58706,8.820358,21.58706,0,0,0,0,1,6,1,5,5,5,17,9134,"0"
18,68,0,2,2054,0,0,0,0,1,0,28,0,28,28,28,0,0,0,0,0,0,1,1,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0"
21,288230376151728128,0,3,2048,54169,53,17,53,1,1,51,117,51,51,51,0,0,0,0,0,0,0,-0.3928571,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.004626016,0.004626016,0.004626016,0.004626016,0,0.004626016,0,0,0,0,0,7,1,12,12,1.714286,1,1032,114934,"0"
21,288230376151728128,0,3,2048,53,54169,17,53,1,1,117,51,117,117,117,0,0,0,0,0,0,0,0.3928571,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.004626016,0,0,0,0,0,1,7,11,11,11,1,9,1383,"0"
22,288230376151728128,0,3,2048,55557,53,17,53,1,1,51,67,51,51,51,0,0,0,0,0,0,0,-0.1355932,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.005484,0.005484,0.005484,0.005484,0,0.005484,0,0,0,0,0,7,1,10,10,1.428571,1,1032,114934,"0"
22,288230376151728128,0,3,2048,53,55557,17,53,1,1,67,51,67,67,67,0,0,0,0,0,0,0,0.1355932,1,65535,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.005484,0,0,0,0,0,1,7,9,9,9,1,9,1383,"0"
51,288230376151728128,0,3,2048,49578,7,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19,65535,0,64,64,0,0,64,2258540790,0,0,0,0,0,0,65535,65535,65535,65535,0,0,0,2,12288,1,5,286,1460,1024,3759813679,0,0.004,15039255.43,1673695912,0.000134016,0.000134016,0.000134016,0.000134016,0,0.000134016,0,3,0,0,0,2,2,4,2,1,0.5,22,2701,"0"
51,288230376151728128,0,3,2048,7,49578,6,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,65535,0,64,64,0,0,64,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1044,8192,0,0,0,0,1,0,0,0,0,0,0,65535,0,0,0,0.000134016,0,67,0,0,0,2,2,3,1,0.5,0.3333333,1150,129745,"0"
